tag,category,count,alias
scar,0,99232,马赛克
crop_top,0,254481,"ニーソックス,ニーソ,ニーハイソックス,ニーハイ,サイハイソックス,过膝袜,长筒袜,大腿袜"
soles,3,480748,"横乳,よこちち,옆가슴"
pillow,0,144992,"ポニーテール,ポニテ,黒髪ポニーテール,马尾,포니테일"
full_body,0,75051,"猫口,ω"
loli,0,80031,
arknights,0,75890,"武器,兵器"
standing,0,91615,
female_pubic_hair,0,83587,"Fate,Fateシリーズ"
glasses,0,413261,"アホ毛,呆毛"
4girls,0,137813,
rose,0,803763,
leotard,0,185722,"無修正,uncensored"
horns,0,130056,"陰毛,阴毛,음모,生えかけ,ロリ陰毛,パイパン差分希望,ヘアヌード,アンダーヘア"
beach,0,341732,
red_eyes,0,167209,"窓,窓辺,窗户"
long_hair,0,789325,"ハイヒール,高跟,高跟鞋"
from_behind,0,91967,"hololiveEnglish,ホロライブEN,HololiveMyth,HololiveEN,holocouncil,holoEN,ホロライブEnglish"
two_side_up,0,110753,"白髪,銀髪,銀髪ロング"
swimsuit,0,101258,"葉,葉っぱ,木の葉"
barefoot,0,87320,付け襟
english_text,0,573399,紫髪
bow,0,603947,"紫目,紫眼"
long_sleeves,0,80553,
indoors,0,386670,"ソックス,靴下,生靴下,裸靴下"
food,0,116832,"ファイアーエムブレム,ガチホモエムブレム,FE,FireEmblem,FE版深夜の真剣お絵描き60分一本勝負,FE腐向け,火焰纹章"
pubic_hair,0,70098,"バニーガール,バニースーツ,バニー,兔女郎,바니걸,メカバニー,bunnysuit"
tattoo,0,86640,
teeth,0,96352,"チョーカー,颈圈,ちょーかー"
completely_nude,0,149889,"ボディスーツ,ぴっちりスーツ,ボディースーツ,艦ラバー,ラバースーツ,全身タイツ,ピッチリスーツ,连体紧身衣,紧身衣"
no_shoes,0,2294308,ベッド
sideboob,0,423601,
bare_legs,3,87624,"剣,大刀,刀剣,グレートソード,大剣,女剣士,劍,miekka,espada,pedang,Schwert,miecz,меч,svärd,swaard"
hat,0,199350,"茶髪,茶髪ロング,갈색머리"
hololive,0,177937,花柄
maid,0,86868,"筋肉,筋肉質,玉つき筋肉ショタ"
shirt_lift,0,173369,
bottomless,0,201113,"服ビリ,尻破れ"
yuri,0,1518705,サイハイブーツ
white_panties,0,85188,"ビキニ,ビキニ水着,エロビキニ,剥ぎ取りたいビキニ,比基尼,豹柄ビキニ"
lips,0,244931,"👘,着物,和服"
sword,0,97220,"絶対領域,絕對領域,绝对领域,절대영역"
twitter_username,0,322560,"腋,脇,魅惑の腋,腋巫女,脇の下,腋下"
black_footwear,0,106790,
buttons,0,141426,"半ズボン,短パン,ショートパンツ"
twin_braids,0,285685,"白ニーソックス,白ニーソ,白ニーハイ,白ストッキング,白スト,白丝袜"
weapon,0,124459,
open_clothes,0,134244,"🧣,マフラー,围巾,围脖"
blue_background,0,191099,"原神,原神project,원신,gnsnプラス,Genshin,Yuanshen,genshinimpactfanart,GenshinImpact,gnsn夢,Genshinfanart,原神同人,gnsn,GenshinImpact5ꓸ0,原尻,genshintwt"
apron,0,324823,異色肌
blush,0,311227,馬耳
hair_bun,0,72356,中景镜头
chair,0,498160,"眼鏡,眼鏡っ娘,メガネ,めがね,眼镜,伊達眼鏡,안경,eyeglasses,spectacles,glasses"
red_ribbon,0,88994,絶対空域
see-through_clothes,0,291973,
socks,0,103820,
white_bikini,0,126602,"鼠蹊部,またすじ,恥丘,鼠径部"
sweat,0,532440,
tears,0,144279,
very_long_hair,0,99411,"パンティー,パンティ,パンツ,ぱんつ,高品質パンツ,お子様パンツ,剥ぎ取りたいパンツ,嫌パン,こどもぱんつ,女児ぱんつ"
witch_hat,0,80287,"タイツ,黒タイツ,黒パンスト,白タイツ,ストッキング,パンスト,パンティストッキング,タイツの日,ストッキングの日,连裤袜,裤袜"
pleated_skirt,0,170957,"恥じらい,恥,恥ずかしい,はずかしい,羞恥,赤面"
blue_archive,0,442296,"明日方舟,アークナイツ,명일방주,Arknights,ArknightsFanArt,アークナイツバトルイラコン"
bracelet,0,121989,ハイアングル
fang,0,434082,
pink_eyes,0,322632,拉丝
cat_girl,0,104890,
profile,0,75858,"足,美脚"
necktie,0,139896,"金髪,金髮,金发,금발,金髪碧眼,金髮碧眼,金发碧眼,금발벽안,金髪ロング,金髪ツインテール,ブロンド"
short_dress,0,261614,椅子
shorts,0,175849,灰色の瞳
hand_up,0,75883,"ぼかし,ぼやけた,模糊"
glowing,0,406119,"セーター,스웨터,毛衣,トレーナー,スウェット,スウェットシャツ,スエットシャツ"
looking_to_the_side,0,138439,
water,0,152490,"ベレー,贝雷帽"
blue_shirt,0,69949,"鎖骨,빗장뼈,锁骨"
light_brown_hair,0,76298,"ケープ,披风,披風"
beret,0,197211,"爆乳,폭유,爆乳化,hugeboobs,hugebreasts"
purple_eyes,0,155933,虚化背景
military_uniform,0,222127,"コップ,カップ,杯子"
grin,0,216752,"翠眼,緑眼,緑目"
mask,0,351688,"シュシュ,大肠圈发圈"
