tag,category,count,alias
bow,0,307283,"白ワンピ,白ワンピース"
phone,0,154975,"いいスジしてる,メコスジ,すじ,スジ,骆驼趾,도끼자국,キャメルトゥ,まんすじ"
smile,0,143905,
wet,0,318181,
cat_ears,0,179204,
thick_thighs,0,676176,"超ロングヘア,超长发"
yuri,0,145773,"縦ロール,ドリルヘアー"
umbrella,0,309695,
sword,0,141529,"馬娘,ウマ娘"
star_(symbol),0,115104,
book,0,227678,"筋肉,筋肉質,玉つき筋肉ショタ"
japanese_clothes,0,1448937,"キャットガール,猫系女子,猫耳娘,貓人,猫人,貓娘,猫娘"
black_gloves,0,267317,"開口,開いた口,口を開ける"
black_bikini,0,121616,"ベルト,腰带"
side_ponytail,0,590960,"うさぎ耳,ウサギ耳,うさみみ,うさ耳,兎耳,ウサミミ,ウサ耳"
dark_skin,0,197356,"砂浜,ビーチ,すなはま,浜辺"
fate_(series),0,324823,"ニーソックス,ニーソ,ニーハイソックス,ニーハイ,サイハイソックス,过膝袜,长筒袜,大腿袜"
witch_hat,0,574323,魔女帽子
arm_support,0,118910,"葉,葉っぱ,木の葉"
bowtie,0,229507,半袖
boots,0,286888,
hand_on_own_hip,0,109146,"コート,外套"
upper_teeth_only,0,144279,レオタード
back,0,79908,涙
bracelet,0,172247,Oの字口
embarrassed,0,90601,"白手袋,白手套,白長手袋"
wariza,0,155933,セカコス
bodysuit,0,120435,ベアトップ
pov,0,100326,"谷間ホール,奶窗"
wolf_ears,0,206757,"丸子头,お団子,发髻,お団子ヘアー,おだんご"
bar_censor,0,85188,"食べ物,食品,食物"
animal_ears,0,216567,"原神,原神project,원신,gnsnプラス,Genshin,Yuanshen,genshinimpactfanart,GenshinImpact,gnsn夢,Genshinfanart,原神同人,gnsn,GenshinImpact5ꓸ0,原尻,genshintwt"
feet_out_of_frame,0,80553,"ポケモン×ポケモン,ポケモン×人間,pokemon"
nipples,0,128021,"女の子,女性,少女,girl,おんなのこ,女子,소녀,女孩,姑娘,女,ガール,ガールズイラスト,animegirl"
sitting,0,143030,
tongue_out,0,341732,"アイドルマスターシンデレラガールズ,シンデレラガールズ,デレマス,モバマス,imas_cg"
tree,0,100100,"目がハート,目にハート,ハート目,心形瞳孔"
blue_eyes,0,979176,"ウィンク,ウィンクX東方"
sweat,0,163612,"寝そべり,寝そべる,横臥,横になる,寝転がる,うつぶせ,うつ伏せ"
idolmaster,0,469229,"マニキュア,マニキュア液,指甲油,매니큐어"
red_dress,0,120985,"下着,肌着,下着艦娘,白下着,胖次"
halterneck,0,81298,花柄
black_shirt,0,153971,
highleg,0,314253,"ソロ,solo,ひとり"
red_eyes,0,153408,披肩
makeup,3,126602,
colored_inner_hair,0,134061,赤面
gradient_background,0,225622,"ブラジャー,ブラ,デカブラ,브래지어,브라,胸罩"
one_eye_closed,0,239149,髪留め
demon_girl,0,642669,青シャツ
chibi,0,93147,
gun,0,110708,"仰向け,仰臥"
full_body,0,413261,
halo,0,140192,"釦,鈕扣,纽扣,扣子,단추,鈕"
jewelry,0,721356,爱抚
blonde_hair,0,75449,"黒ハイソックス,黒ソックス,黒生,黒靴下"
ahoge,0,1116912,
dark-skinned_female,0,149280,
single_braid,0,267648,"ハーフトップ,露腹短上衣,短款上衣"
shiny_skin,3,142767,"kirakiradeshita,闪闪发光,キラキラ"
