id,name,description,tags,version,template,author,subdomain,likes
K00B404/Ask_PDF_anything,gradio_keyboardtextboxcomponent,,,0.0.1,,freddyaboulton,physcalx-gradio-image-prompter,3
drigoni/gradio_molgallery2d,gradio_model3dgscamera,,,,SimpleTextbox,camilosegura,crcdng-gradio-myfirstcomponent,1
Mustafiz996/gradio_spreadsheetcomponent,gradio_rangeslider,,,,,nazikus,agents-mcp-hackathon-gradio-agent-inspector,20
zukuan/gradio_mycomponent3,gradio_workflowbuilder,,,,,freddyaboulton,elismasilva-gradio-dropdownplus,13
awacke1/AIDataMaps,gradio_easytb,,,,,elismasilva,paulguerrero-gradio-hdrimage,2
simonduerr/gradio_molecule3d,gradio_overlay_video,,"gradio-custom-component,custom-component-track,roundtable,consilium",,SimpleTextbox,Jedijamez,freddyaboulton-gradio-datepicker-v0-0-1,0
feiznouri/gradio_checkboxmarkdowngroup,gradio_codeanalysisviewer,,,,,abidlabs,freddyaboulton-gradio-coolimage,1
thanhson28/gradio_image_annotation,gradio_richtextbox2,,,,Audio,thietkeweb30s,freddyaboulton-gradio-keyboardtextboxcomponent,13
elismasilva/gradio_tokenizertextbox,gradio_folium,,,,,elismasilva,radames-gradio-rerun,15
julien-c/gradio_hubquicksearch,chatpdf,,,,,aliabid94,freddyaboulton-gradio-test3,0
elismasilva/gradio_taggrouphelper,chatpdf,,,,,elismasilva,feiznouri-gradio-checkboxmarkdowngroup,4
simonduerr/gradio_cofoldinginput,gradio_unifiedaudio,AI-agent optimized medical image analysis component for Gradio with DICOM support,,,,simonduerr,agents-mcp-hackathon-chartagent,0
toblab/gradio_highlightedtextlabeldefault,gradio_huggingfacehub_search,,,,,zukuan,agents-mcp-hackathon-simpletextextractfrompdf,0
Agents-MCP-Hackathon/AudioGrid,omnisealbench,,,,,Ankush-LM,freddyaboulton-gradio-pdf,0
andrewlastmile/hf-model-comparisons,gradio_mediagallery,,,,,Gabriel,tonic-gradio-msaplot,0
Nseven/gradio_highlightcode,gradio_creditspanel,,,,,crcdng,bbo09-ask-pdf-test,0
czakop/gradio_chessboard,gradio_myfirstcomponent,,,,,elismasilva,cocktailpeanut-gradio-logsview,0
hmb/gradio_carousel,gradio_topbar,,,,,freddyaboulton,luminapixel-gradio-chatagui,0
abidlabs/gradio_rich_textbox,gradio_medical_image_analyzer,,,,,freddyaboulton,camilosegura-gradio-keyboardtextboxcomponent,2
edgargg/gradio_image_annotation,pyannote-speech-separation-pipeline,,,,,Nymbo,pngwn-gradio-msaplot,69
elismasilva/gradio_folderexplorer,B2BMGMT_gradio_unifiedaudio,,,,,tungnguyen103,hugofloresgarcia-gradio-automationbus,60
AbdullahIsaMarkus/gradio_medical_image_analyzer,gradio-webrtc,,,,,truetekken,modelscope-modelscope-studio,0
Illia56/Ask_PDF_anything,gradio_highlightcode,,,,,abidlabs,elismasilva-gradio-folderexplorer,3
prathje/gradio_motioncanvasplayer,gradio_overlay_video,,,,,beast2857,hmb-gradio-coolcanvas,0
Nymbo/gradio_imageslider,gradio_videogallery,,,,,freddyaboulton,clement-pages-separation-pipeline-visualization,0
b-aryan/gradio_imageslider_cssfix,gradio_screenrecorder,,"gradio-custom-component,huggingface hub,hub,huggingface",,,hellnear,gsarti-gradio-highlightedtextbox,1
RayLee/gradio_markdownlabel,gradio_rerun,,,0.0.6,,Agents-MCP-Hackathon,toblab-gradio-highlightedtextlabeldefault,2
clement-pages/separation-pipeline-visualization,agentic_chatbot,,,,,elismasilva,elismasilva-gradio-taggrouphelper,0
Sor0ush/gradio_screenrecorder,gradio_dataframe_download,,,0.0.3,,JoPmt,chenglu-she-gradio-log,0
Agents-MCP-Hackathon/gradio_workflowbuilder,gradio_dropdownplus,,,,,renceLaw515,agents-mcp-hackathon-gradio-chessboard,24
elismasilva/gradio_mediagallery,gradio_tokenizertextbox,,,,,oxkitsune,svjack-gradio-imageslider,3
Agents-MCP-Hackathon/gradio_codeanalysisviewer,gradio_textwithattachments,,"gradio-custom-component,medical-imaging,ai-agents,image-analysis,dicom,veterinary,ct-scan,x-ray,fat-segmentation,medical-ai,hackathon-2025",,,dwancin,agents-mcp-hackathon-text-mood-checker-gradio-cu-b7de4c9,0
awacke1/Gradio-PDF-Document-QA-PDF-UI,pdf-qa,,,,,santhoshkammari,elismasilva-gradio-textboxplus,1
anshulchordiya/textmoodchecker,gradio_imageslider_cssfix,,,,Image,pngwn,yelorix-gradio-vistimeline,1
Agents-MCP-Hackathon/gradio_medical_image_analyzer,gradio_checkboxgroupmarkdown,,,,,abidlabs,paddy82-chatpdf,3
freddyaboulton/gradio_folium,gradio_screenrecorder,,,,,seq-to-pheno,drigoni-gradio-molgallery3d,1
