uid,url,text,original_width,original_height,clip_b32_similarity_score,clip_l14_similarity_score,face_bboxes,sha256,__index_level_0__
d3096c0d2ca405d7bcd071eafe0cb977,https://mh-2-agencia-estoque.panthermedia.net/media/previews/0022000000/22969000/22969283_preview.jpg,"Moleskine 13 x 21 cm Classic Ruled Paper Notebook, Hard Cover and Elastic Closure - Black",236,366,0.359130859375,0.328125,[],4570f15646064402e5319d6a06aadad7af974d5de612bc63f454dd917da4ae27,1844
03a2360b9e63eec6eaa6d4e7b9932c04,https://s-media-cache-ak0.pinimg.com/236x/ad/8a/8a/ad8a8a1d777d6edb42a1d5125ec0fa77.jpg,"Medal Defenders of the Independence, 1877 - 1878.",200,458,0.329345703125,0.323486328125,[],8fb74e6047135e5fe9e705b4fc8d307a5683d100156088a867be327c4234a87c,3314
5ad4727d588b2cf0cc58344646b8e88c,https://photos6.spartoo.eu/photos/159/15997780/15997780_200_A.jpg,Minty Cacao Fruit Smoothie,210,257,0.362548828125,0.384033203125,[],d9915af3ede0f4edda52778f3d545d3a7b26d0cf35df48108c8f71cef0f072da,907
d13d646baf81d21c52f7cb36e2007aeb,https://marine-deals-au.freetls.fastly.net/media/catalog/product/cache/2/small_image/210x/0dc2d03fe217f8c83829496872af24a0/1/0/108207_1_pc.jpg,4 x Heavy Duty Ø 30 40 mm Swivel - Brake Castor Wheels Trolley Furniture Rubber,500,517,0.33740234375,0.347412109375,[],fa31e0d118a6f4175e006c0ef7c762d3ab7f8bb4bd163bf24fb71f21c431e8fc,3304
ad67ccca2426ce17236cbfb1a402201c,https://images.igdb.com/igdb/image/upload/t_cover_big_2x/iaibg5oeqc3smmqahfwv.jpg,Philadelphia Flyers L214 42 Inch Pub Table,1024,500,0.392333984375,0.32080078125,[],80629ed93f1b87ce1f7562c0c78121d4af67f90b0eda6d4c8355dc2dfbc252e0,1658
d7be506e771b13c0bdc4ead43cafdf84,https://di7dud5r8j0ls.cloudfront.net/fit-in/130x90/photos/images/labrador-specialty-show-jabalpur-2014_17.jpg,Lilian Hocknell artwork revived for Christmas 2014 Vintage View from Woman&#039;s Weekly magazine cover,652,412,0.435546875,0.345703125,[],a9689f041af09f4c07d0a02d0f2d96601dd749ebe81732c704260f92f167f531,1996
f1c5de80a42676055648a9722c9d38bb,https://render.fineartamerica.com/images/rendered/small/throw-pillow/images-medium-5/golden-cherub-valerie-reeves.jpg?transparent=0&targetx=-79&targety=0&imagewidth=638&imageheight=478&modelwidth=479&modelheight=479&backgroundcolor=NULL&orientation=0&producttype=throwpillow-14-14,david tennant Framed Art Prints featuring Doctor Who 10th Doctor David Tennant by idillard,150,277,0.372802734375,0.377197265625,[],779f8fee867caba1906d327ccd46abe47458c30539712237aa431ff846be62ee,1984
09e4904adfde74b185debef4dfdf7b04,https://images-na.ssl-images-amazon.com/images/I/31bToFMlmkL.jpg,retinol correxion deep wrinkle night cream reviews,270,321,0.365234375,0.34619140625,[],639e5475b9120a817e8fddb64feb517069da72d089c7ee6f734e912362363c83,813
b4dff635e8d3b776ad5fff2d5ada98d9,https://cdn10.bigcommerce.com/s-fw2plafw/products/1214/images/2198/2329-2__22381.1429044663.190.285.jpg?c=2,Bunga Pukul Delapan a.k.a. Portulaca Moss a.k.a. Japanese Rose. Photograph vs drawing on color pencil by Dee.,500,324,0.30615234375,0.369873046875,[],33fde12dcc792e542d92b4c6f0f6ecf43a81739148a257ac3b8e677567ed6775,2117
01f3ceb66ae16830d912ca1d8504a686,http://thumbs.ebaystatic.com/images/g/szgAAOSwo0JWLoAc/s-l225.jpg,Beacon Bingo,150,268,0.314697265625,0.320556640625,[],23406e2e4af65a7c4383891ec89f3e662e892501c4270db47d8ef2af56d1b4c3,231
