id,name,description,tags,version,template,author,subdomain,likes
elismasilva/gradio_dropdownplus,gradio_folderexplorer,Rerun viewer with Gradio,"gradio-custom-component,test",,AudioMerger,PaulGuerrero,k00b404-agentic-chatbot,0
dawood/gradio_videogallery,hf-model-comparisons,,,,,elismasilva,agents-mcp-hackathon-gradio-chessboard,0
pngwn/gradio_imageslider,gradio_image_annotation,,,,,freddyaboulton,sor0ush-gradio-screenrecorder,0
freddyaboulton/gradio_demotest,Gradio-App-Designer,,,,,julien-c,santhoshkammari-gradio-ap-chat-ui,0
elismasilva/gradio_tokenizertextbox,gradio_test2,,,,,Ankush-LM,elismasilva-gradio-htmlplus,3
svjack/gradio_imageslider,gradio_pianoroll,,,,,elismasilva,jayavibhav-gradio-gradiodesigner,0
Agents-MCP-Hackathon/SimpleTextExtractFromPDF,gradio_msaplot,,,,,Wauplin,agents-mcp-hackathon-gradio-motioncanvasplayer,9
Agents-MCP-Hackathon/gradio_agent_inspector,gradio_imageslider,,,,,jayavibhav,radames-gradio-rerun,0
drigoni/gradio_molgallery2d,gradio_myfirstcomponent,A nicer view to show the Agentic code analyser outputs,,0.0.1,SimpleTextbox,elismasilva,nazikus-pdf-qa,0
mrsyclq/gradio_rich_textbox,gradio_logsview,,,,Textbox,dolo650,seq-to-pheno-zoonotica-orthologs,0
modelscope/modelscope-studio-beta,gradio_pdf,,,,,K00B404,simonduerr-gradio-molecule3d,0
LennardZuendorf/gradio_iframe,gradio_rerun,,,,,798989d,abidlabs-gradio-gptchatbot,2
pngwn/gradio_pdf,gradio_dropdownplus,,,0.0.6,,dwancin,yelorix-gradio-vistimeline,0
b-aryan/gradio_imageslider_cssfix,gradio_keyboardtextboxcomponent,Python library for easily interacting with trained machine learning models,,,,thanhson28,nseven-gradio-highlightcode,13
Agents-MCP-Hackathon/AudioGrid,gradio_molgallery3d,,,,,hmb,tungnguyen103-gradio-hellogradio,1
Jedijamez/gradio_awsbr_mmchatbot,gradio_htmlinjector,,,,SimpleTextbox,Gabriel,k00b404-ask-pdf-anything,0
freddyaboulton/gradio_foliumtest,gradio_awsbr_mmchatbot,,,,Image,mrsyclq,dawood-gradio-unifiedaudio,1
simonduerr/gradio_molecule3d,gradio-webrtc,,,,,b-aryan,mustafiz996-gradio-spreadsheetcomponent,0
BladeSzaSza/gradio_overlay_video,SOMbI1,,,,,amithkk,freddyaboulton-gradio-demotest,0
lastmileai/gradio-notebook-template,gradio_agentchatbot,Quick search HF Hub repos or users,"machine learning,reproducibility,visualization,gradio,gradio custom component",0.0.10,,simonduerr,hbding-layoutpainter,0
feiznouri/gradio_checkboxmarkdowngroup,gradio_cofoldinginput,,,,,crlotwhite,toblab-gradio-highlightedtextlabeldefault,14
hugofloresgarcia/gradio_automationbus,gradio_hellogradio,,,,,elismasilva,jopmt-testng-component-from-builder,1
pngwn/gradio_imageslider_cssfix,gradio_shinymodel3d,,,,,renceLaw515,paddy82-chatpdf,33
JoPmt/testng_component_from_builder,gradio_chessboard,,,,,dawood,b-aryan-gradio-imageslider-cssfix,2
Agents-MCP-Hackathon/Gradio-App-Designer,gradio_foliumtest,AI-agent optimized medical image analysis component for Gradio with DICOM support,"gradio-custom-component,audio",,,Agents-MCP-Hackathon,paulguerrero-gradio-hdrimage,0
elismasilva/gradio_htmlinjector,gradio_imageslider,,,,,BBo09,brokerrobin-gradio-pannellum,0
798989d/gradio_workflowbuilder,testwilldelete5,,,,,pngwn,wauplin-gradio-pannellum,6
hugofloresgarcia/gradio_xyslider,gradio_xyslider,,gradio-custom-component,,,aliabd,awacke1-gradio-rerun,9
freddyaboulton/gradio_textwithattachments,chartagent,,"gradio-custom-component,designer,drag and drop,custom designs",,,drigoni,lastmileai-gradio-notebook-quickstart,60
pngwn/gradio_msaplot,SimpleTextExtractFromPDFDemo,,"gradio-custom-component,audio-merger,audio-processing",,,freddyaboulton,hellnear-gradio-model3dgscamera,0
tungnguyen103/gradio_hellogradio,gradio_imageslider_cssfix,,,,SimpleTextbox,aliabid94,tonic-gradio-msaplot,0
rerun/gradio-rerun-viewer,gradio_igv,,"machine learning,reproducibility,visualization,gradio,gradio custom component",,,Tonic,dwancin-gradio-toggle,5
elismasilva/gradio_taggrouphelper,gradio_consilium_roundtable,,,,,lastmileai,nymbo-gradio-rerun,1
Illia56/Ask_PDF_anything,gradio-notebook-template,,,0.0.3,,Agents-MCP-Hackathon,freddyaboulton-gradio-leaderboard,69
radames/gradio_rerun,gradio_highlightedcode,,,,,pngwn,rebanpaul-pdfsummarizer,0
BBo09/ASK_pdf_test,scope-studio,,,,,lastmileai,drigoni-gradio-molgallery2d,0
RebirthMagex/gradio_rich_textbox,gradio_demotest,,"gradio-custom-component,multimodal data,visualization,machine learning,robotics,Rerun,rerun-viewer",,Code,awacke1,kamcio1989-gradio-workflowbuilder,2
IAMTFRMZA/Ask_PDF_anything,gradio_chessboard,,,,Audio,svjack,agents-mcp-hackathon-simpletextextractfrompdf,2
freddyaboulton/gradio-webrtc,gradio_videogallery,,,0.0.2,,czakop,feiznouri-gradio-checkboxgroupmarkdown,1
anshulchordiya/textmoodchecker,Ask_PDF_anything,,,,,Chenglu-She,freddyaboulton-gradio-textwithattachments,1
