model,base_model,revision,precision,params,architectures,weight_type,status,submitted_time,model_type,job_id,job_start_time,use_chat_template,sender
DevQuasar/coma-7B-v0.1,,24e1de07258925d5ddb52134b66e2eb0d698dc11,bfloat16,7.616,LlamaForCausalLM,Original,FINISHED,2024-12-19 18:01:12,chat,8701460,2025-02-28T13:05:09.277904,False,1024m
DebateLabKIT/Llama-3.3-Argunaut-1-70B-SFT,,f65696da4ed82c9a20e94b200d9dccffa07af682,bfloat16,7.768,Gemma2ForCausalLM,Original,FINISHED,2025-01-17 21:04:18,pretrained,14725278,2024-06-19T15:18:50.253731,True,DavieLion
CYFRAGOVPL/Llama-PLLuM-8B-chat,,36fa24a5e2288e2d81092523f14adb7d2b027a3b,bfloat16,32.764,MllamaForConditionalGeneration,Original,FINISHED,2024-11-20 12:18:31,fine-tuned,8896298,2024-12-10T22:46:49.416273,True,Alsebay
Daemontatox/AetherDrake-SFT,,462c9307ba4cfcb0c1edcceac5e06f4007bc803e,bfloat16,0.494,LlamaForCausalLM,Original,FINISHED,2025-03-03 08:13:50,🤝 : 🤝 base merges and moerges,14752975,2024-09-20T03:33:05.214886,True,DeepMount00
3rd-Degree-Burn/Llama-3.1-Squared-8B,,cc94604b91fc38513ca61f11dd9e1de1c3cc3b3d,4bit,32.764,Qwen2ForCausalLM,Original,FINISHED,2024-12-24 05:16:29,🔶 : 🔶 fine-tuned on domain-specific datasets,8896304,2025-03-08T14:02:36.272281,False,Cran-May
CultriX/MergeQwen2.5-14B,,beae08105412b6f650ffacfdf7e6ca6dab157f14,float16,14.766,Qwen2ForCausalLM,Original,FAILED,2024-09-12 01:32:18,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",13578863,2024-10-29T02:37:31.514034,True,bedio
Black-Ink-Guild/Pernicious_Prophecy_70B,,25f5123401151a36ada50cce93c590a259a11150,bfloat16,14.766,LlamaForCausalLM,Original,FAILED,2024-06-26 20:32:08,🔶 : 🔶 fine-tuned on domain-specific datasets,13489983,2025-03-03T09:17:00.950692,True,Daemontatox
Danielbrdz/Barcenas-R1-Qwen-1.5b,,ab34f2688e2254de4d73a580e1f8abb4a744c891,bfloat16,8.03,Qwen2Model,Original,FAILED,2025-01-24 10:18:45,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",13652405,2025-01-07T21:57:48.068295,True,CombinHorizon
ClaudioItaly/Book-Gut12B,DUAL-GPO/zephyr-7b-dpo-new-lora-v1-merged,e498d645faab591062c6919a98b35656e2d0c783,bfloat16,70.554,PhiForCausalLM,Original,FINISHED,2024-12-19 04:44:54,🔶 : 🔶 fine-tuned on domain-specific datasets,14752987,2024-11-27T13:22:07.575345,True,DeepMount00
Daemontatox/Cogito-MIS,,ff74452e11f0f749ab872dc19b1dd3813c25c4d8,float16,70.554,LlamaForCausalLM,Original,FAILED,2025-03-10 15:05:00,🤝 : 🤝 base merges and moerges,14541668,2025-03-07T07:15:00.043777,False,Alepach
Deci/DeciLM-7B-instruct,,01c0981db9cf0f146fe050065f17343af75a8aa6,float16,1.544,Qwen2ForCausalLM,Original,FINISHED,2024-12-23 17:07:42,🔶 : 🔶 fine-tuned on domain-specific datasets,14692633,2024-12-29T05:20:05.470773,False,ClaudioItaly
ClaudioItaly/TopEvolutionWiz,,4adc7aa9efe61b47b0a98b2cc94527d9c45c3b4f,bfloat16,11.52,Qwen2ForCausalLM,Original,FINISHED,2024-11-12 12:52:10,fine-tuned,14597378,2024-09-08T17:15:28.540222,False,jefferylovely
Delta-Vector/Tor-8B,,1e6d2d17ebda8d70c1d332b85518467ebae27c87,bfloat16,39.927,Qwen2ForCausalLM,Original,FINISHED,2024-10-25 11:15:45,🔶 : 🔶 fine-tuned on domain-specific datasets,14681304,2025-03-09T03:45:23.194882,True,Daemontatox
01-ai/Yi-9B-200K,,5f84709710dcce7cc05fa12473e8bb207fe25849,bfloat16,0.248,MistralForCausalLM,Original,FINISHED,2024-09-16 02:37:57,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",8464336,2025-02-04T00:44:35.310852,False,Amaorynho
Corianas/Neural-Mistral-7B,,5f8c7b1c49d946c3feb028f138add7efabde94e7,bfloat16,14.766,Qwen2ForCausalLM,Original,FINISHED,2024-11-17 01:07:17,continuously pretrained,13315361,2025-03-08T00:18:51.302611,False,SuperNintendoChalmers
Ateron/Glowing-Forest-12B,,3284c32f13733d1cd17c723ed754f2c01b65a15c,bfloat16,3.213,Qwen2ForCausalLM,Original,FAILED,2025-01-21 06:14:20,merge,10757255,2024-09-23T13:54:57.628826,True,CultriX
Cran-May/merge_model_20250308_4,,1e6d2d17ebda8d70c1d332b85518467ebae27c87,bfloat16,34.981,MistralForCausalLM,Original,FINISHED,2024-09-08 21:14:56,🔶 : 🔶 fine-tuned on domain-specific datasets,10690943,2024-09-10T03:32:39.807437,False,
CultriX/Qwen2.5-14B-HyperionSeek,,1af27994df1287a7fac1b10d60e40ca43a22a385,bfloat16,14.766,MistralForCausalLM,Original,FINISHED,2025-03-10 00:16:45,merge,10196593,2024-12-18T03:03:21.529174,False,Danielbrdz
BenevolenceMessiah/Reasoning-TIES-Coder-v1.1,,37e0ac4b64a82964af3b33324629324cbcbf7cda,bfloat16,7.768,LlamaForCausalLM,Original,FAILED,2024-12-29 08:40:23,fine-tuned,14595793,2025-03-07T19:55:02.898098,True,jeiku
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.2.0,,0c60a40e7561b645e41304d5d60cbead4d76a9c5,bfloat16,70.554,LlamaForCausalLM,Original,FINISHED,2024-06-12 12:26:50,merge,14597002,2024-10-16T08:05:24.612133,True,jeiku
AmeerH/FPT-Base,,6c9aa17cee032523ce17de111d6865e33825cf1d,bfloat16,72.706,Qwen2ForCausalLM,Original,FAILED,2024-08-19 01:57:04,🤝 : 🤝 base merges and moerges,14681184,2024-10-10T14:02:49.014728,True,
Amaorynho/BBAI270V4,,91ea35e2e65516988021e4bb3b908e3e497e05c2,float16,72.706,Qwen2ForCausalLM,Original,FAILED,2024-07-09 20:02:02,fine-tuned,8701155,2025-02-24T03:03:46.530321,False,freeCS-dot-org
BlackBeenie/mistral-7b-cot-neftune-v0.1,,60cc366b0648bcb40ed22ebc53d64cc5aca25550,bfloat16,3.821,Qwen2ForCausalLM,Original,FAILED,2024-09-12 01:31:57,fine-tuned,14586835,2025-03-10T03:05:50.933735,True,Abhaykoul
ContactDoctor/Bio-Medical-Llama-3-8B,,2d8cf3ab0af78b9e43546486b096f86adf3ba4d0,float16,1.544,LlavaForConditionalGeneration,Original,FINISHED,2024-09-10 09:09:08,fine-tuned,14694006,2025-01-20T20:59:59.889364,True,Daemontatox
BEE-spoke-data/tFINE-900m-e16-d32-flan,,8271fc32a601a4fa5efbe58c41a0ef4181ad8836,bfloat16,13.96,LlamaForCausalLM,Original,FINISHED,2025-02-06 16:19:33,fine-tuned,8097825,2024-08-12T16:13:11.789604,True,
CultriX/SeQwence-14B-EvolMerge,,b46c066ea8387264858dc3461f382e7b42fd9c48,bfloat16,10.306,LlamaForCausalLM,Original,FINISHED,2025-03-07 22:36:10,🤝 : 🤝 base merges and moerges,8767959,2025-01-19T16:57:50.714447,True,DavidAU
Amu/t1-3B,,23dcfc6bf91d84db1c977b151fd0923270d3e3ef,bfloat16,0.101,LlamaForCausalLM,Original,FINISHED,2025-03-06 07:03:24,merge,10334053,2025-03-08T21:19:48.330745,False,CombinHorizon
Dampfinchen/Ultra-Instruct-12B,,4b486f81c935a2dadde84c6baa1e1370d40a098f,float16,10.159,GPT2LMHeadModel,Original,FINISHED,2024-08-05 21:45:49,🤝 : 🤝 base merges and moerges,14704989,2025-03-01T18:05:47.205127,True,Daemontatox
Daemontatox/Cogito-Maximus,,2bec01c2c5d53276eac2222c80190eb44ab2e6af,bfloat16,34.389,LlamaForCausalLM,Original,FINISHED,2024-09-20 03:28:38,pretrained,13624506,2025-03-08T21:32:32.865356,False,
Columbia-NLP/LION-Gemma-2b-dpo-v1.0,,cde6f0126310f38b6781cc26cdb9a02416b896b9,bfloat16,6.061,Qwen2ForCausalLM,Original,FINISHED,2024-06-12 12:06:32,🔶 : 🔶 fine-tuned on domain-specific datasets,7811350,2025-03-09T04:07:06.802820,True,
1024m/PHI-4-Hindi,,bc36be5b5ca3053ae96d85e962249efd0b283c82,bfloat16,34.714,LlavaNextForConditionalGeneration,Original,FINISHED,2024-10-19 10:51:39,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",14016380,2025-03-02T22:04:13.489150,True,
01-ai/Yi-6B-200K,,fc24bca48549ef8e39cbee5a438e5a16e25e4afa,bfloat16,8.03,Qwen2ForCausalLM,Original,FAILED,2024-06-26 20:34:56,🔶 : 🔶 fine-tuned on domain-specific datasets,14752982,,False,
Daemontatox/MawaredT1,unsloth/Llama-3.2-3B-Instruct-bnb-4bit,fa00543296f2731793dfb0aac667571ccf1abb5b,float16,10.67,LlamaForCausalLM,Original,FAILED,2024-12-30 13:43:35,🔶 : 🔶 fine-tuned on domain-specific datasets,9878560,2024-09-13T16:47:58.909791,True,CultriX
Changgil/K2S3-14b-v0.2,,2be3e02d309d349f597de55ce0c939c70740e9a7,float16,14.766,LlamaForCausalLM,Original,FINISHED,2024-07-04 14:49:21,merge,8890741,2025-01-13T09:21:43.127203,False,Daemontatox
AuraIndustries/Aura-MoE-2x4B-v2,,f87a539a9adddb514b721c929f57c35a6cbf5990,float16,0.887,Qwen2ForCausalLM,Original,FINISHED,2024-12-29 07:55:24,🟢 : 🟢 pretrained,8907359,2024-12-30T14:03:32.724032,False,DRXD1000
DeepMount00/Llama-3-COT-ITA,,5f5faeade9308eea4f11e7fb87a4e7ec581e56c2,bfloat16,13.668,LlamaForCausalLM,Original,FINISHED,2025-01-19 11:30:57,🔶 : 🔶 fine-tuned on domain-specific datasets,8461177,2024-07-22T11:06:12.036422,False,DavieLion
Daemontatox/PathFinderAi3.0,,bfc745d1a347b74843671eb50687c2e88c07ec7d,bfloat16,7.242,MistralForCausalLM,Original,FAILED,2025-01-19 16:54:01,🔶 : 🔶 fine-tuned on domain-specific datasets,7812670,2025-03-01T18:01:04.787682,True,CombinHorizon
BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,,a5caa8036d8b7819eb723debe3f037471b5c4882,bfloat16,14.491,?,Adapter,FINISHED,2025-02-28 13:05:41,🤝 : 🤝 base merges and moerges,8900548,2024-07-17T09:25:26.104103,True,PocketDoc
AIDC-AI/Marco-o1,,8ac1a1ebe011df28b78ccd08012aeb2222443c77,bfloat16,2.78,LlamaForCausalLM,Original,FINISHED,2025-01-16 12:11:48,fine-tuned,13523083,2025-02-28T13:12:01.723274,True,
AALF/FuseChat-Llama-3.1-8B-Instruct-preview,,d5cbf18b2eb90b77f5ddbb74cfcaeedfa692c90c,float16,34.714,LlamaForCausalLM,Original,FINISHED,2025-03-06 08:40:32,pretrained,13995565,2025-02-04T00:41:11.196269,True,CreitinGameplays
DevQuasar/HermesNova-Llama-3.1-8B,,e0a21c79bac74442252d36e2c01403afa3f0971b,float16,3.213,LlamaForCausalLM,Original,FAILED,2024-09-22 02:22:09,fine-tuned,8886803,2024-11-27T20:00:03.477606,True,CultriX
Daemontatox/Zirel-7B-Math,,93ef695a725c7b90e12c398721179c1bc4d06038,bfloat16,8.03,LlamaForCausalLM,Original,FINISHED,2024-10-11 03:38:18,🤝 : 🤝 base merges and moerges,9412768,2024-12-29T08:45:01.944589,True,
Changgil/K2S3-v0.1,,05a9ef37686d678f267a15664b5ce66612b7996a,float16,32.764,MistralForCausalLM,Original,FINISHED,2025-02-27 13:48:59,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",9966677,2025-01-26T18:52:31.094186,False,Daemontatox
CombinHorizon/zetasepic-abliteratedV2-Qwen2.5-32B-Inst-BaseMerge-TIES,,448ef54e5af03e13f16f3db8ad8d1481479ac12e,bfloat16,0.63,MllamaForConditionalGeneration,Original,FAILED,2024-08-19 01:56:18,fine-tuned,8463435,2024-06-16T17:12:13.152792,False,Danielbrdz
CultriX/Qwen2.5-14B-Hyperionv4,,1062ad627bd1823458a3b1b22f434941dea75f35,bfloat16,32.76,LlamaForCausalLM,Original,FAILED,2025-02-06 07:47:14,pretrained,13660578,2024-08-12T16:14:26.169137,True,CultriX
CombinHorizon/YiSM-blossom5.1-34B-SLERP,,adecb879fc4c585b789f36f19d5bccc150f40837,float16,8.03,Qwen2ForCausalLM,Original,FINISHED,2024-08-27 05:40:16,🤝 : 🤝 base merges and moerges,14394272,2025-03-10T02:48:41.568792,False,Davidsv
DeepMount00/Qwen2.5-7B-Instruct-MathCoder,,a5f780075831374f8850324448acf94976dea504,4bit,8.03,LlamaForCausalLM,Original,FINISHED,2025-02-06 05:07:21,fine-tuned,11475324,2025-03-08T13:50:16.790028,True,Delta-Vector
Cran-May/T.E-8.1,,b602beb38b9a82ac497e6689751927eca9dbd876,bfloat16,16.537,LlamaForCausalLM,Original,FINISHED,2024-07-10 18:19:33,merge,8467832,2025-02-23T21:14:56.921251,True,PocketDoc
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.3.0,,56dbbb4f972be887e5b57311a8a32e148e98d154,4bit,9.242,?,Original,FINISHED,2024-10-04 05:42:07,🤝 : 🤝 base merges and moerges,13490703,2024-10-19T11:10:03.885549,True,1024m
01-ai/Yi-34B,,304e2931d30eccd1267e7d9495b1c62c7062ceca,bfloat16,46.703,Qwen2ForCausalLM,Original,FINISHED,2025-02-09 01:58:19,merge,5777967,2025-03-09T04:15:45.296581,False,jeiku
1TuanPham/T-VisStar-v0.1,,4062bd84b3650608fac6d496bb65abb9bb7e1088,bfloat16,14.352,MistralForCausalLM,Original,FINISHED,2024-06-26 14:34:45,merge,8095667,2024-08-12T20:42:55.196415,False,CultriX
CohereForAI/aya-101,,56925fafe6a543e224db36864dd0927171542776,bfloat16,7.242,Qwen2ForCausalLM,Original,FINISHED,2025-03-08 13:32:14,🔶 : 🔶 fine-tuned on domain-specific datasets,14179368,2025-02-23T22:44:44.205779,False,1TuanPham
BEE-spoke-data/smol_llama-101M-GQA,,c3c9f4226801dc0433f32aebffe0aac68ee2f051,bfloat16,14.766,Qwen2ForCausalLM,Original,FINISHED,2025-02-16 05:56:32,merge,14753676,2024-11-19T22:29:14.391056,True,DavidAU
DavidAU/L3-Jamet-12.2B-MK.V-Blackroot-Instruct,,b749dbcb19901b8fd0e9f38c923a24533569f895,float16,3.397,LlamaForCausalLM,Original,FINISHED,2024-06-12 12:26:37,🤝 : 🤝 base merges and moerges,14681181,2025-03-02T22:10:14.061393,True,BramVanroy
DavieLion/Llama-3.2-1B-SPIN-iter3,,709e97e4be8ab731f6f81bebd1402db15468b29f,bfloat16,7.242,Qwen2ForCausalLM,Original,FAILED,2025-01-02 08:01:57,merge,8899970,2024-11-17T23:21:48.258503,False,Daemontatox
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct-2412,,9367c1273b0025793531fcf3a2c15416539f5d81,bfloat16,12.248,LlamaForCausalLM,Original,FINISHED,2025-02-28 13:07:35,fine-tuned,14364352,2024-10-11T12:49:38.797550,True,AELLM
AiMavenAi/AiMaven-Prometheus,,e91ad0ada3f0d906bacd3c0ad41da4f65ce77b08,float16,7.616,Qwen2ForCausalLM,Original,FINISHED,2024-11-27 09:35:54,🟢 : 🟢 pretrained,8094637,2025-03-10T03:14:49.600829,False,
CausalLM/35b-beta-long,,ffc26e5c5ffbf42976e5bdc13ea858127eb96cf7,bfloat16,8.03,LlamaForCausalLM,Original,FINISHED,2025-02-25 19:05:04,fine-tuned,14017553,2024-12-31T19:48:52.448243,True,CombinHorizon
CultriX/Qwen2.5-14B-Hyperionv3,,8143e34e77a49a30ec2617c5c9cc22cb3cda2287,float16,7.242,Qwen2ForCausalLM,Original,FINISHED,2024-08-29 19:27:57,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",8095290,2024-12-20T06:45:48.582657,True,CultriX
AiMavenAi/Athena-70B-L3,,59502a062d6d3bdc6376756bab28c9b7bd5b1a98,bfloat16,14.77,LlamaForCausalLM,Adapter,FAILED,2024-12-31 19:23:02,chat,14691792,2024-09-02T14:35:12.118638,True,Aashraf995
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.0,,479b068ff6975774ee12ab8a4fa02525d146ccde,bfloat16,14.766,Qwen2MoeForCausalLM,Original,FINISHED,2024-08-19 14:11:26,🔶 : 🔶 fine-tuned on domain-specific datasets,9555013,2025-01-16T15:22:27.637598,False,andresparraguirado
DeepAutoAI/ldm_soup_Llama-3.1-8B-Instruct-v0.1,,95a95ccc16bb0d1c36a78e2bdf68bc60148608a3,float16,-1.0,LlamaForCausalLM,Original,FAILED,2024-10-08 06:28:22,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",10332101,2024-08-12T16:17:38.093015,True,adamog234
Columbia-NLP/LION-Gemma-2b-sft-v1.0,,7271fc7d08fca9b12c49b40af6245a982273a5c3,bfloat16,7.242,Qwen2ForCausalLM,Original,FINISHED,2024-10-24 15:20:00,🔶 : 🔶 fine-tuned on domain-specific datasets,5778506,2024-07-25T11:15:06.967285,False,alozowski
DavidAU/L3-Stheno-Maid-Blackroot-Grand-HORROR-16B,,1ef63c4993a8c723c9695c827295c17080a64435,bfloat16,8.03,Qwen2ForCausalLM,Original,FINISHED,2024-06-26 17:29:57,merge,14753575,2025-01-13T09:32:58.771526,False,Ayush-Singh
AndreasThinks/mistral-7b-english-welsh-translate,,bd981505b6950df69216b260c3c0d86124fded7b,bfloat16,14.766,Gemma2ForCausalLM,Original,FINISHED,2025-01-20 20:58:00,chat,14749712,2024-09-23T09:37:08.397182,False,ggbetz
DUAL-GPO/phi-2-dpo-chatml-i1,,1dca4cce36f01f2104ee2e6b97bac6ff7bb300c1,float16,0.124,GlmForCausalLM,Original,FAILED,2025-01-09 23:13:19,🔶 : 🔶 fine-tuned on domain-specific datasets,13522334,2025-01-02T08:03:26.594666,True,SuperNintendoChalmers
Azure99/blossom-v5-32b,,02c6491a2affea23c1e5d89d324a90d24a0e5381,bfloat16,8.03,LlamaForCausalLM,Original,FINISHED,2025-03-02 22:01:46,🤝 : 🤝 base merges and moerges,8828651,2024-12-21T20:15:25.569844,False,
Baptiste-HUVELLE-10/LeTriomphant2.2_ECE_iLAB,,8582d00cfdfc328eb7dd9be9c296253686656015,bfloat16,23.572,MistralForCausalLM,Original,FINISHED,2025-01-19 11:44:44,🔶 : 🔶 fine-tuned on domain-specific datasets,14541670,2025-01-13T12:53:22.390375,False,DavieLion
CultriX/Qwen2.5-14B-MergeStock,,26a66f0d862e2024ce4ad0a09c37052ac36e8af6,float16,7.248,Qwen2ForCausalLM,Original,FAILED,2025-02-19 05:51:12,fine-tuned,9420334,2024-07-29T17:34:17.888901,True,Delta-Vector
DavidAU/DeepSeek-MOE-4X8B-R1-Distill-Llama-3.1-Mad-Scientist-24B,,8e81cfddd97a13d81d6207eb72be8b730a7ca12f,bfloat16,9.543,Gemma2ForCausalLM,Original,FINISHED,2025-02-15 20:46:59,fine-tuned,13046568,2025-02-24T04:15:51.732574,True,Danielbrdz
ContactDoctor/Bio-Medical-3B-CoT-012025,,7c4ee5d33686c4957ec70b30f1504f88198dd073,float16,14.352,StableLmForCausalLM,Original,FINISHED,2025-01-27 20:05:36,fine-tuned,13660588,2025-02-26T18:50:52.391938,True,BlackBeenie
Delta-Vector/Holland-4B-V1,,364e785d90438b787b94e33741a930c9932353c0,float16,7.616,MistralForCausalLM,Original,FINISHED,2025-02-18 04:50:29,🤝 : 🤝 base merges and moerges,9000472,2024-07-22T09:52:57.379883,True,CultriX
Chan-Y/MathLlama3.1,,b3dba86b0be166f3c4140e692d8cce45a5503bb4,float16,7.616,LlamaForCausalLM,Original,FINISHED,2024-12-15 22:44:37,🔶 : 🔶 fine-tuned on domain-specific datasets,14017323,2024-12-07T05:20:38.361120,False,Casual-Autopsy
DeepMount00/Llama-3.1-8b-Ita,,6574eed7624b12e60253509ea4e208ce27493c9b,bfloat16,7.242,Qwen2ForCausalLM,Original,FINISHED,2025-03-13 11:53:17,🤝 : 🤝 base merges and moerges,14681140,2024-11-03T23:14:08.228744,True,Aashraf995
Ateron/Lotus-Magpic,,fd6d02d300e3b9015e07c217e26c6f1b4823963a,bfloat16,6.061,Qwen2ForCausalLM,Original,FAILED,2024-06-26 15:32:34,fine-tuned,14691861,2024-10-28T12:50:39.851786,False,3rd-Degree-Burn
Cran-May/tempmotacilla-cinerea-0308,,b7dd53b35d0c7c9e162cd336f5c9d8a13dbf6992,bfloat16,13.96,LlamaForCausalLM,Original,FAILED,2024-10-11 13:33:17,fine-tuned,14756305,2024-07-29T09:41:43.043300,True,legolasyiu
ClaudioItaly/Albacus,,7be7c0ff1e35c3bb781c47222da99a1724f5f1da,bfloat16,34.389,Qwen2ForCausalLM,Original,FINISHED,2024-06-27 12:07:10,fine-tuned,14752981,2024-06-17T10:55:12.393888,True,adamog234
BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,,b961a89bf10cd5132d2fb1c03618e0078c853667,bfloat16,12.174,Qwen2ForCausalLM,Original,FINISHED,2024-09-24 07:17:05,"💬 : 💬 chat models (RLHF, DPO, IFT, ...)",14752977,2025-03-10T03:01:26.131864,False,bedio
AALF/gemma-2-27b-it-SimPO-37K-100steps,,b5434e21936031982db15694c91b783bf85d06ea,bfloat16,8.058,MllamaForConditionalGeneration,Original,FINISHED,2024-11-27 09:40:04,🤝 : 🤝 base merges and moerges,5778446,2025-01-06T10:10:01.976770,True,DeepMount00
AI-MO/NuminaMath-7B-CoT,,3a0b90db5f90490eb05e757355b711b59fca7b95,float16,2.506,LlamaForCausalLM,Original,FAILED,2025-02-28 10:13:17,🔶 : 🔶 fine-tuned on domain-specific datasets,8616004,2024-09-13T16:05:27.493421,True,csabakecskemeti
01-ai/Yi-1.5-6B,,683bde57913b834f71ca454f490fe76556e50785,bfloat16,12.248,CohereForCausalLM,Original,FINISHED,2025-02-28 13:06:59,🤝 : 🤝 base merges and moerges,14536582,2024-09-02T14:36:57.186538,False,hyxmmm
DavidAU/MN-Rocinante-18.5B-v1.1-Instruct,,06f4294cfd9d1f4a74c50f43078ea0c1c2ca4458,bfloat16,70.554,Qwen2ForCausalLM,Original,FINISHED,2024-10-06 16:33:12,🔶 : 🔶 fine-tuned on domain-specific datasets,14690843,2024-10-17T04:58:17.239129,True,CultriX
Azure99/Blossom-V6-14B,,3abe75d01094b713368e3d911ffb78a2d66ead22,float16,70.554,Qwen2ForCausalLM,Original,FINISHED,2025-01-11 06:28:08,🟢 : 🟢 pretrained,8015242,2025-03-09T04:24:37.894018,True,
