uid,url,text,original_width,original_height,clip_b32_similarity_score,clip_l14_similarity_score,face_bboxes,sha256
33e51d3a73b6ef0bbdd5685f4798a29b,https://shop12957.hstatic.dk/upload_dir/shop/07.w100.jpg,Laurel Leaf Table Runner Color: White,800,292,0.2548828125,0.350341796875,[],64ed1542d573a9421371238f181d2eed9a634e526c9d8aca61ff64e8d64980e2
bfc092c1c2da8b2cee6c9ea3078b1c96,https://cdn.trendhunterstatic.com/thumbs/rr-martin.jpeg,serjant urko leroy merlin 16 50 maquinetes xules. Black Bedroom Furniture Sets. Home Design Ideas,640,280,0.361083984375,0.1739501953125,[],1a1ee3f3fb94fe8a632ea9421100735b8c56b158498c066262ba8114714cf462
aec2f06655e77a0ad44b3c278cf78e55,http://www.wikidot.com/avatar.php?userid=2892920&amp;amp;size=small&amp;amp;timestamp=1505828393,Parallels Desktop 17,250,447,0.2464599609375,0.289306640625,[],83a8da0b2a985a182ff79b44c69a342ae5ff178d46e2ab4dab3e2f5265c381b7
2dc0985c2cbb658e70c963c717699c08,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSyeAofJ0iskKmMsA--nxHRGkTG2dk5ViDA3esJ3ofHCDfNLv-kww,"A$AP Rocky&nbsp;
photo credit Erez Avissa",240,507,0.30078125,0.1533203125,"[[0.13369868695735931, 0.22605611383914948, 0.17707328498363495, 0.3079741895198822], [0.6709772944450378, 0.2871747314929962, 0.701673150062561, 0.34538349509239197], [0.5558213591575623, 0.43084725737571716, 0.5793304443359375, 0.4752050042152405], [0.6390050649642944, 0.42242079973220825, 0.6658416986465454, 0.4751617908477783]]",d4dec855d4f904226e728399ff3236e58de84047fbd10ac73fde9504618e7f80
d194fdf6d7deb1b01e61b9cc050e4b8c,https://kitchencraft.images.blucommerce.com/kitchencraft/product/CWCHOPKIT3PC_02.jpg?auto=format%2Ccompress&bluhash=8b577bd1fee70a850030b3261223f02c&w=200&h=180&fit=fillmax&fill=solid&s=03c63c0d37adeb03947e42502fa30c67,"BMW car key holder, 寶馬車匙套",435,140,0.228515625,0.1531982421875,[],8cd1053d11c609f6a6160e0e384b6789258fdffd3c09e28afdcb824b1c775fee
b8fa7f7e300dfa276f610eb235e0ba14,https://o3schools.com/wp-content/uploads/2020/01/JAMB-Offices-in-Nigeria-o3schools-300x284.jpg,Dj Luke - &apos;For the love of house&apos; Radio show 15-4-2011/pt2,626,180,0.278076171875,0.19921875,[],12eb193012c09b79464d7a001e5ef6787e41e6ab2350a8ee22af6675a14f353d
6517458519939bfec4899a01e9c67713,https://wedding-photography.info/wp-content/uploads/2015/10/Manuela_Juergen-429-2.jpg,FullSizeRender (2) (1),626,280,0.318115234375,0.1474609375,[],c02bac89d2a769f88b36301218b7df3addd06b35c0410accfd99a93caa39d40a
bf812518da9f32818fdaeefc5eb6ac44,https://cdn.videvo.net/videvo_files/video/premium/video0018/thumbnails/327-1_327-4742_small.jpg,BOSNIA SERBIA(329) - Red Cross - MNH Set - 2015,600,80,0.280517578125,0.2183837890625,"[[0.38760098814964294, 0.09376289695501328, 0.6885684132575989, 0.5352991819381714]]",e6c28d9d547216df3cffdd75f6b6559f0655aebc8a15e7c7c6ea4731edbe7d7c
bb94b95a5b30a33d075d27e5ef9570b3,https://cdn.autodoc.de/groups/atd/84/370.jpg,إسرائيل تتسلم أولى مقاتلات «إف 35» الأميركية في ديسمبر - صفحة 3 31267741160_ca8e91e0a6_b,600,417,0.2130126953125,0.27783203125,[],eda1bfdf89c66def06a761b458afeb4537d16970be89264cae4ee60d53ba2fd3
7a7d469a22c5b23eaaf2142d8a7ccc27,https://s3.amazonaws.com/comparaboo/partners/amazon.png,COLD STEEL Knife FINN BEAR (item 20pcz) New In Package Bixed-Blade w/ Sheath,500,300,0.2626953125,0.112548828125,[],ead6d3d43f3948b3c2992493643c15aac5c7ac879d8ca739030821b1b17e4ab2
54a2d2b45ab92f4e1197d4705ed485bb,https://cdn.xxl.thumbs.canstockphoto.dk/cartoon-koala-cute-eps-vector_csp14799247.jpg, 瘋狂摩托駕駛 ,300,454,0.258544921875,0.2054443359375,[],faaae44a9a6df24675f6044665450ed62e7a65190b0210db56e99590a113011d
b2aeac41edc57573d167b0097b1f3f4e,https://shop-cdn-m.mediazs.com/bilder/sparpaket/herrmanns/bioreinfleisch/x/g/9/140/26231_herrmann_s_hundkatze_bio_putereinfleisch_24x400g_9.jpg,Showboat Dragster 101_6214,1000,180,0.167236328125,0.21142578125,[],06f149661548b6e2cee884caf713c8da78c45d98ed7045590cd6c44e3b8f9149
f1fe07a94e034e25a6860a3f0e0126b3,https://image.jimcdn.com/app/cms/image/transf/none/path/s36173c616be61c17/image/ia6567e1cbae20cbf/version/1592898347/image.jpg,ALUGUEL COM CONDOMÍNIO INCLUSO - 506 norte - Residencial Porto Bello 3 quartos,800,240,0.2313232421875,0.1705322265625,[],0f9213f9e18cb1757806fe2c4eca402a6c6da92f13fe1e2d7d949bfd737fb48a
e3e26d46429d046c7ecf14e488915b13,https://www.carpetparadise.com.au/wp-content/uploads/2020/10/Light-Malt.jpg,Gadgets 360 Picks: The Best Home Entertainment Gadgets of 2020,234,155,0.26953125,0.1441650390625,"[[0.23112070560455322, 0.06936010718345642, 0.31225132942199707, 0.1547834575176239]]",4c353ed37ae73a446a8a03c8a1b85876ab9240409a2e751e8020efae76d6e323
2b58eb510c4152e975b6205e861ac91b,https://dekorin.me/wp-content/uploads/2018/04/47-stol-loft-s-jivum-gazonom.jpg,Bisonte SP-900 Masina de slefuit beton,355,800,0.1988525390625,0.264892578125,[],e5fdddbf9c10faf0647d4d6596094fc18dfe29ccfd74915cb3736119f038bcba
21a5b67e9b5ea05a158d7072275b9abd,https://img.rnudah.com/largethumb/65/652814054068812.jpg,[ج-768ر] يطوي قابل للانكماش مقادة متّكأ قصّار متداخل,128,256,0.26904296875,0.2266845703125,[],bd6c60f1424384d18706783c0531ff250a7938e12ea350a2257b824bd798aa38
e2d7917496de6824c3a4b3660804fda2,http://image.made-in-china.com/74f64j00ZJwEbLmglDou/8-Digital-Outputs-with-Relay-222-1hf22-0xa0-PLC.jpg,Small Guest Bedroom Color Ideas Bedroom Small 2017 Bedroom Decorating Ideas Style Modern Small,511,150,0.2587890625,0.2880859375,"[[0.34506285190582275, 0.11519955098628998, 0.586624264717102, 0.3729533553123474]]",1b0cf547c2cd2a47f5efe9503a593311e8032baee69867153abbae1d46dc9d96
71f76573144ea56369ac00541716adbd,https://img.freepik.com/darmowe-zdjecie/sciereczka-kuchenna-na-niebieskiej-powierzchni-drewnianej_1339-112687.jpg?size=626&ext=jpg,Phyllis Weatherbee,800,450,0.2188720703125,0.1339111328125,[],5b5ae21f071f02ea49fff61d96c857c61700f67ea141630ada8ac74260324401
