id,name,description,tags,version,template,author,subdomain,likes
Agents-MCP-Hackathon/gradio_chessboard,ASK_pdf_test,,,,,sourceoftruthdata,beast2857-gradio-imageslider,0
abidlabs/gradio_highlightedcode,modelscope-studio,,,,,edgargg,798989d-gradio-workflowbuilder,85
freddyaboulton/gradio-webrtc,gradio_gradiodesigner,,,,,K00B404,agents-mcp-hackathon-gradio-overlay-video,0
freddyaboulton/gradio_agentchatbot,gradio_markdownlabel,,"gradio-custom-component,designer,drag and drop,custom designs",,,clement-pages,julien-c-gradio-hubquicksearch,0
freddyaboulton/gradio_rangeslider,gradio_myfirstcomponent,,,,,Agents-MCP-Hackathon,elismasilva-gradio-videoslider,9
pngwn/gradio_msaplot,gradio_imagefeed,,"gradio-custom-component,huggingface hub,hub,huggingface",,,smajumdar,drigoni-gradio-molgallery2d,0
freddyaboulton/gradio_textwithattachments,gradio_hls_player,,,0.0.1,,thanhson28,nymbo-gradio-rerun,2
aliabd/gradio_imagefeed,QA_my_PDF,,,,Code,freddyaboulton,aliabd-gradio-imagefeed,1
elismasilva/gradio_propertysheet,gradio_checkboxmarkdowngroup,,,,,elismasilva,k00b404-ask-pdf-anything,1
modelscope/modelscope-studio-beta,pyannote-speech-separation-pipeline,,,,,mrsyclq,clement-pages-separation-pipeline-visualization,0
freddyaboulton/gradio_datepicker-v0.0.1,hf-model-comparisons,Integrate a panorama viewer with Pannellum.,,,,Yelorix,ankush-lm-testwilldelete5,3
PaulGuerrero/gradio_hdrimage,gradio_iframecomponent,,,,Fallback,freddyaboulton,freddyaboulton-gradio-test2,0
hellnear/gradio_model3dgscamera,gradio_calendar,,,,,cocktailpeanut,modelscope-modelscope-studio,0
jayavibhav/gradio_iframecomponent,gradio_xyslider,,,,,hmb,elismasilva-gradio-mediagallery,0
Rebanpaul/PDFsummarizer,gradio_promptweighting,A Log component for Gradio which can easily show some log file in the interface.,,,Image,elismasilva,radames-gradio-promptweighting,59
Illia56/Ask_PDF_anything,gradio_codeanalysisviewer,,,,,jayavibhav,wauplin-gradio-blurhashimage,1
awacke1/gradio_rerun,gradio_htmlplus,,,,SimpleTextbox,RobinsAIWorld,k00b404-agentic-chatbot,0
facebook/omnisealbench,gradio_rangeslider,,,,,freddyaboulton,agents-mcp-hackathon-gradio-medical-image-analyzer,2
santhoshkammari/gradio_gradio_anthropic_chat_ui,gradio_motioncanvasplayer,Quick search HF Hub repos or users,,,,freddyaboulton,dolo650-qa-my-pdf,0
crcdng/gradio_myfirstcomponent,gradio_mediagallery,,,,,pngwn,b-aryan-gradio-imageslider-cssfix,6
elismasilva/gradio_buttonplus,gradio_shinymodel3d,,,,SimpleTextbox,seq-to-pheno,pngwn-gradio-imageslider,0
czakop/gradio_chessboard,gradio_folderexplorer,,,,,azettl,princeta3011-agentic-workflow-bulider,0
Ankush-LM/testwilldelete5,gradio-notebook-quickstart,,,,,radames,freddyaboulton-gradio-demotest,1
RebirthMagex/gradio_rich_textbox,testng_component_from_builder,Quick search HF Hub repos or users,,,,Agents-MCP-Hackathon,awacke1-aidatamaps,0
