tag,category,count,alias
sweat,0,231466,
black_socks,4,434082,"猫耳,ネコミミ,ねこみみ,ネコ耳,ねこ耳,猫耳カチューシャ"
sitting,0,110110,"中国风,チャイナ服,中華風,中国風"
short_dress,0,73428,"袖だけ霊夢,袖だけ"
sidelocks,0,75519,"乳首,nipples,nipple"
covered_nipples,0,139710,"半眼,半目,眯眼,眯着眼睛,半闭着眼,はんめ"
cape,0,80128,赤面
clothes_lift,0,121616,"タイツ,黒タイツ,黒パンスト,白タイツ,ストッキング,パンスト,パンティストッキング,タイツの日,ストッキングの日,连裤袜,裤袜"
very_long_hair,0,71866,馬耳
kantai_collection,0,234453,"空,天空"
greyscale,0,360630,"天使の輪,天使の輪っか,光环,ヘイロー,へいろー"
military,0,134014,
clothing_cutout,0,75765,青いスカート
groping,0,130621,下を見る
black_shirt,0,80553,Oの字口
:d,0,1047308,"帯,kimono_obi,kimono_belt,束带"
on_back,0,80628,
hairclip,0,91284,茶目
sweater,0,142178,"ウィンク,ウィンクX東方"
open_mouth,0,202615,"エプロン,えぷろん,围裙"
glowing,0,191099,"裸足,素足,裸足裏,制服裸足,裸足男子"
midriff,0,76430,"荊棘,薔薇,蔷薇,ばら,玫瑰,バラ,장미,roses"
nude,0,97171,"ベスト,背心"
blurry_background,0,83803,
black_panties,0,98983,紐ビキニ
necklace,0,80986,"マスク,仮面,覆面,衛生マスク,サージカルマスク,防塵マスク,ガスマスク,面具,カラスマスク"
blue_bow,0,78739,"しっぽ,尻尾,もふりたい尻尾,尾巴"
underboob,0,1089329,
frills,0,507095,"首傾げ,歪头"
back,3,467351,"もみあげ,横髪,サイドヘア,边落,耳前侧发,鬓发"
white_flower,0,125197,"跪く,膝立ち,跪,跪着,下跪"
comic,0,1199644,"ドレス,ワンピース服,ワンピ,连衣裙,드레스"
vaginal,0,80553,多色髪
neck_ribbon,0,283318,後ろ姿
virtual_youtuber,0,175161,"膣の,阴道性行为"
orange_hair,0,74844,"指抜きグローブ,无指手套"
head_tilt,0,154861,"サッシュ,현장,飾帶,饰带,条带"
mole,0,412658,"茶色髪,小麦色髪,淡褐色髪"
pantyhose,0,75883,"ぱっつん,パッツン,前髪ぱっつん,齐刘海"
touhou,0,729208,"サイバンド,大腿上的带子,腿带"
shiny_skin,0,436700,"目がハート,目にハート,ハート目,心形瞳孔"
saliva,0,1448937,
pants,0,172247,"ウェーブヘア,ウェービーヘア"
