id,name,description,tags,version,template,author,subdomain,likes
prathje/gradio_motioncanvasplayer,Gradio-PDF-Document-QA-PDF-UI,,,,,azettl,elismasilva-gradio-taggrouphelper,0
radames/gradio_rerun,gradio_imageslider111,,,,,kyamagu,aliabd-gradio-imagefeed,1
awacke1/gradio_rerun,gradio_renderer,Integrate a panorama viewer with Pannellum.,,,,abidlabs,dawood-gradio-unifiedaudio,2
Jedijamez/gradio_awsbr_mmchatbot,gradio_livelog,,,,Fallback,clement-pages,nazikus-pdf-qa,0
freddyaboulton/gradio_test3,gradio-notebook-quickstart,,,,,Agents-MCP-Hackathon,freddyaboulton-gradio-leaderboard,1
abidlabs/gradio_gptchatbot,Ask_PDF_anything,,,,,rerun,agents-mcp-hackathon-chartagent,9
798989d/gradio_workflowbuilder,gradio_pannellum,,,,,aliceblue11,wauplin-gradio-logsview,0
Agents-MCP-Hackathon/gradio_screenrecorder,testwilldelete5,,,,,freddyaboulton,nymbo-gradio-imageslider,0
pngwn/gradio_pdf,gradio_unifiedaudio,,,,,nasirbloch323,crcdng-gradio-myfirstcomponent,15
andyrids/gradio_dataframe_download,gradio_gradiodesigner,,"gradio-custom-component,workflow,builder,editor",,,Ankush-LM,pngwn-gradio-imageslider,7
freddyaboulton/gradio_pdf,gradio_tokenizertextbox,,,,,Wauplin,drigoni-gradio-molgallery2d,3
Sor0ush/gradio_screenrecorder,gradio_workflowbuilder,,,,,freddyaboulton,tonic-gradio-msaplot,3
freddyaboulton/gradio_folium,gradio_rerun,,,,,elismasilva,oxkitsune-gradio-rerun,14
elismasilva/gradio_creditspanel,SimpleTextExtractFromPDFDemo,,,,,clement-pages,abdullahisamarkus-gradio-medical-image-analyzer,1
beast2857/gradio_imageslider,PDFsummarizer,,"gradio-custom-component,log,gradio_log,gradio_log_component,gradio_print_log",,,Agents-MCP-Hackathon,elismasilva-gradio-textboxplus,0
Yelorix/gradio_vistimeline,gradio_chessboard,,,,Image,rickymagner,awacke1-aidatamaps,26
julien-c/gradio_hubquicksearch,gradio_pdf,,,0.0.3,,tungnguyen103,sourceoftruthdata-gradio-unifiedaudio,10
elismasilva/gradio_htmlinjector,gradio_taggrouphelper,,,,,Rebanpaul,nymbo-gradio-hubquicksearch,0
feiznouri/gradio_checkboxgroupmarkdown,gradio_rich_textbox,,,,SimpleTextbox,modelscope,radames-gradio-promptweighting,2
facebook/omnisealbench,gradio_hellogradio,,,,,freddyaboulton,agents-mcp-hackathon-gradio-app-designer,0
Agents-MCP-Hackathon/gradio_chessboard,gradio_creditspanel,,,,,smajumdar,facebook-omnisealbench,0
truetekken/gradio_pdf,gradio_xyslider,,,,,Nseven,ankush-lm-testwilldelete5,0
crlotwhite/gradio_pianoroll,gradio_mymodel3d-v0.0.1,,,,,awacke1,awacke1-gradio-rerun,1
Agents-MCP-Hackathon/SimpleTextExtractFromPDF,gradio_model3dgscamera,,,,,HuggyMonkey,elismasilva-gradio-topbar,3
lastmileai/gradio-notebook-quickstart,gradio_demotest,,,,,lastmileai,freddyaboulton-gradio-easytb,0
freddyaboulton/gradio-webrtc,ASK_pdf_test,,"gradio-custom-component,medical-imaging,ai-agents,image-analysis,dicom,veterinary,ct-scan,x-ray,fat-segmentation,medical-ai,hackathon-2025",,,sourceoftruthdata,abidlabs-gradio-highlightedcode,1
Agents-MCP-Hackathon/chartagent,AIDataMaps,,,,Code,seq-to-pheno,agents-mcp-hackathon-gradio-agent-inspector,0
elismasilva/gradio_mediagallery,gradio_imageslider_cssfix,,"gradio-custom-component,audio-merger,audio-processing",,,beast2857,kamcio1989-gradio-workflowbuilder,0
freddyaboulton/gradio_keyboardtextboxcomponent,gradio-rerun-viewer,,,,,freddyaboulton,hugofloresgarcia-gradio-xyslider,0
thietkeweb30s/gradio_agentchatbot,test,,"gradio-custom-component,huggingface hub,hub,huggingface",,,truetekken,kyamagu-gradio-bbox-annotator,0
czakop/gradio_chessboard,gradio_promptweighting,,,,,RayLee,hmb-gradio-shinymodel3d,0
cocktailpeanut/gradio_logsview,gradio_hdrimage,Quick search HF Hub repos or users,,,,paddy82,maiiaren-gradio-coolcanvas,1
aemresafak/gradio_audiogrid,gradio_motioncanvasplayer,,,,,abidlabs,elismasilva-gradio-htmlinjector,1
rerun/gradio-rerun-viewer,gradio_hubquicksearch,Audio Grid - Gradio component for drag and drop audio file management and merging workflows,,,,drigoni,modelscope-modelscope-studio-beta,1
toblab/gradio_highlightedtextlabeldefault,gradio_awsbr_mmchatbot,,,,,awacke1,rebanpaul-pdfsummarizer,2
santhoshkammari/gradio_gradio_anthropic_chat_ui,gradio_igv,,,,,elismasilva,feiznouri-gradio-checkboxgroupmarkdown,33
nasirbloch323/chatpdf,gradio_topbar,,,,,svjack,elismasilva-gradio-propertysheet,1
freddyaboulton/gradio_leaderboard,gradio_screenrecorder,,,,,freddyaboulton,,0
awacke1/AIDataMaps,gradio_rangeslider,,,,,Nymbo,santhoshkammari-gradio-ap-chat-ui,0
PeepDaSlan9/B2BMGMT_gradio_unifiedaudio,gradio_audiogrid,,,0.0.4,,simonduerr,freddyaboulton-gradio-rangeslider,8
RobinsAIWorld/gradio_workflowbuilder,gradio_vistimeline,Rerun viewer with Gradio,,0.0.1,,pngwn,freddyaboulton-gradio-webrtc,12
K00B404/agentic_chatbot,gradio_log,,"gradio-custom-component,chess,chessboard,games",,,radames,agents-mcp-hackathon-text-mood-checker-gradio-cu-b7de4c9,0
svjack/gradio_imageslider,gradio_agentchatbot,,,,,elismasilva,hmb-gradio-carousel,12
Wauplin/gradio_blurhashimage,gradio_codeanalysisviewer,,,,,elismasilva,elismasilva-gradio-dropdownplus,17
elismasilva/gradio_tokenizertextbox,gradio_logsview,,,,,freddyaboulton,iamtfrmza-ask-pdf-anything,1
kyamagu/gradio_bbox_annotator,hf-model-comparisons,,,,,Agents-MCP-Hackathon,princeta3011-agentic-workflow-bulider,2
K00B404/Ask_PDF_anything,gradio_htmlinjector,,,,,andyrids,yelorix-gradio-vistimeline,1
BladeSzaSza/gradio_overlay_video,gradio_htmlplus,,,,,Agents-MCP-Hackathon,hmb-gradio-coolcanvas,0
freddyaboulton/gradio_foliumtest,gradio_msaplot,A PianoRoll Component for Gradio.,,,,prathje,wauplin-gradio-pannellum,1
Nymbo/gradio_hubquicksearch,gradio_huggingfacehub_search,,gradio-custom-component,0.0.1,,toblab,freddyaboulton-gradio-foliumtest,0
BBo09/ASK_pdf_test,gradio_imageslider,,,0.0.1,,jayavibhav,elismasilva-gradio-folderexplorer,8
freddyaboulton/gradio_mymodel3d-v0.0.1,gradio_highlightcode,,,0.0.6,,freddyaboulton,nseven-gradio-highlightcode,0
Agents-MCP-Hackathon/gradio_motioncanvasplayer,pdf-qa,,,,,zukuan,luminapixel-gradio-chatagui,6
gsarti/gradio_highlightedtextbox,gradio_rerun,,,0.0.10,,thanhson28,simonduerr-gradio-cofoldinginput,8
abidlabs/gradio_fasta,gradio_motioncanvasplayer,,,,,Agents-MCP-Hackathon,jayavibhav-gradio-workflowbuilder,0
