id,name,description,tags,version,template,author,subdomain,likes
mrsyclq/gradio_rich_textbox,gradio_workflowbuilder,Quick search HF Hub repos or users,,,,awacke1,freddyaboulton-gradio-calendar,0
freddyaboulton/gradio_multimodalchatbot,gradio_gradio_anthropic_chat_ui,,,,SimpleTextbox,RebirthMagex,yelorix-gradio-vistimeline,1
freddyaboulton/gradio_coolimage,gradio_leaderboard,,,,,tungnguyen103,maiiaren-gradio-coolcanvas,9
abidlabs/gradio_rich_textbox,testng_component_from_builder,,,,,elismasilva,peepdaslan9-b2bmgmt-gradio-unifiedaudio,5
freddyaboulton/gradio_foliumtest,gradio_htmlinjector,,,,,freddyaboulton,brokerrobin-gradio-pannellum,0
Nseven/gradio_highlightcode,gradio_rerun,,,,,freddyaboulton,ankush-lm-testwilldelete5,1
camilosegura/gradio_keyboardtextboxcomponent,gradio_imageslider,,,,,Agents-MCP-Hackathon,thietkeweb30s-gradio-agentchatbot,0
keshan/gradio_codeanalysisviewer,gradio_pdf,,,,,sourceoftruthdata,dwancin-gradio-toggle,7
jayavibhav/gradio_gradiodesigner,gradio_chessboard,,,,Code,elismasilva,awacke1-webrtc-gradio,0
freddyaboulton/gradio_leaderboard,gradio_image_annotation,,,0.0.1,,andrewlastmile,aliabid94-gradio-modal,0
simonduerr/gradio_molecule2d,gradio_image_annotation,,,,,K00B404,abidlabs-gradio-gptchatbot,14
Agents-MCP-Hackathon/gradio_screenrecorder,gradio_motioncanvasplayer,,,,,julien-c,hmb-gradio-carousel,0
Sor0ush/gradio_screenrecorder,gradio_workflowbuilder,,,,Fallback,JoPmt,bladeszasza-gradio-overlay-video,4
hugofloresgarcia/gradio_xyslider,gradio_spreadsheetcomponent,,,,,crlotwhite,elismasilva-gradio-imagemeta,60
freddyaboulton/gradio_easytb,gradio_coolimage,,,,,freddyaboulton,gsarti-gradio-highlightedtextbox,0
aliabid94/gradio_datetimerange,gradio_rerun,,,,,elismasilva,niklasvonm-gradio-tiff,0
elismasilva/gradio_folderexplorer,gradio_datepicker-v0.0.1,,,,SimpleTextbox,freddyaboulton,wauplin-gradio-logsview,1
freddyaboulton/gradio_agentchatbot,gradio_videogallery,,,,,Rebanpaul,freddyaboulton-gradio-leaderboard,0
Agents-MCP-Hackathon/gradio_overlay_video,gradio_textlabeler,,,0.0.3,,Ankush-LM,prathje-gradio-motioncanvasplayer,2
freddyaboulton/gradio_calendar,Agentic_Workflow_bulider,,,,,beast2857,facebook-omnisealbench,0
jayavibhav/gradio_iframecomponent,gradio_tokenizertextbox,,,,,freddyaboulton,modelscope-modelscope-studio,7
crlotwhite/gradio_pianoroll,gradio_highlightcode,Python library for easily interacting with trained machine learning models,,,,azettl,dawood-gradio-unifiedaudio,1
