tag,category,count,alias
on_bed,0,75506,レオタード
kneehighs,0,91671,髪留め
clothing_cutout,0,99176,後ろ姿
underwear,0,184646,"ピンク髪,ピンク髪ロング,ピンクは淫乱"
grey_eyes,0,197356,
comic,0,200528,
leg_up,0,75449,"乳首,nipples,nipple"
open_clothes,0,76298,
food,0,320198,脇見せのポーズ
ribbon,0,213290,"衣装チェンジ,私服艦娘"
:o,0,233937,"ベスト,背心"
strapless,0,1105296,
heterochromia,0,75051,"リボン,리본,丝带,絲帶,缎带,紐タイ"
black_gloves,0,197211,"首傾げ,歪头"
black_shorts,0,68990,透けへそ
nude,0,175196,
flat_chest,0,1250530,"へそ,臍,おへそ,へそ出し,へそチラ,指を突っ込みたいへそ,肚脐,배꼽"
sleeveless_dress,0,103442,
hair_over_one_eye,0,71866,"ブレスレット,腕輪,手镯"
bar_censor,0,90706,
sailor_collar,0,157726,"ロングヘアー,長髪,ロングヘア,黒髪ロング,金髪ロング,长发,長髪けもフレ,茶髪ロング,長い髪,長髪男子,銀髪ロング"
multiple_boys,0,1409152,黒シャツ
bird,0,534129,"普通乳,普乳"
jewelry,0,91284,"いいスジしてる,メコスジ,すじ,スジ,骆驼趾,도끼자국,キャメルトゥ,まんすじ"
cat_girl,0,173369,"座る,座り,椅子尻"
teeth,0,81298,"原神,原神project,원신,gnsnプラス,Genshin,Yuanshen,genshinimpactfanart,GenshinImpact,gnsn夢,Genshinfanart,原神同人,gnsn,GenshinImpact5ꓸ0,原尻,genshintwt"
testicles,0,467351,"傷跡,疤痕,疤"
bodysuit,0,128101,
colored_inner_hair,0,87320,"横顔,侧脸,侧面"
thick_eyebrows,0,82749,"窓,窓辺,窗户"
bandages,0,77890,"ノースリーブ,アメリカンスリーブ"
sash,0,216333,"シャツ,襯衫,셔츠,衬衫,上衣"
blue_dress,0,231466,
purple_eyes,0,134061,"白ニーソックス,白ニーソ,白ニーハイ,白ストッキング,白スト,白丝袜"
mole_under_eye,0,119144,
cum_in_pussy,0,3608339,
vaginal,0,143186,唇
blue_bow,0,109551,"砂浜,ビーチ,すなはま,浜辺"
thighs,0,70168,"エルフ耳,尖耳朵,とんがり耳"
depth_of_field,0,163612,"筋肉,筋肉質,玉つき筋肉ショタ"
lips,0,99773,"萌え袖,萌袖"
azur_lane,0,138274,"ぼかし,ぼやけた,模糊"
