tag,category,count,alias
fox_girl,0,106465,"漫画,マンガ,漫畫,만화,漫畵"
original,0,83587,"男の子,少年,男性,男子"
embarrassed,0,149280,
shiny_skin,0,706551,"天使の輪,天使の輪っか,光环,ヘイロー,へいろー"
chinese_clothes,0,360061,"眼鏡,眼鏡っ娘,メガネ,めがね,眼镜,伊達眼鏡,안경,eyeglasses,spectacles,glasses"
sweater,0,73428,"ファイアーエムブレム,ガチホモエムブレム,FE,FireEmblem,FE版深夜の真剣お絵描き60分一本勝負,FE腐向け,火焰纹章"
cloud,0,120985,
ocean,0,1199644,"濡れ,濡れる,びしょ濡れ,びしょびしょ"
brown_hair,0,426864,"👘,着物,和服"
eyelashes,0,3157499,渐变色背景
short_shorts,0,187714,"鳥,擬鳥化,鳥ポケモン,鳥と女の子"
holding_sword,0,143030,"下乳,南半球,下パイ,おっぱいスカート,underboobs"
heterochromia,0,590960,
on_back,0,286888,"靴,くつ,鞋子,신발"
hair_intakes,0,887987,"オリジナル,創作,原創,原创,看板娘,看板息子,自キャラ,オリキャラ,オリジナル艦娘,オリ刀剣,창작,oc,创作,うちの子,うちの娘,オリジナルキャラクター,自作キャラ,Оригинальный,Original,original_character,ออริจินอล,オリジナルフレンズ,オリフレ,原画,オリジナルキャラ,一次創作,創作男女,オリロボ,オリジナルウマ娘,オリソニ,オリメカ,オリジナルイラスト,오리지널,オリキャラ愛の会,ウチの子,自キャラクター,indie_anime,うちのこ,originalcharacter,オリギナル,自创,自創,おりじなる,original,OC,創作男子,my_oc,創作百合,自家孩子,original_art,創作キャラ,創作イラスト,originaldesign,原创插画,オリケモ,oc_artwork,oc_art,ocartwork,ocart,oc_tag,ocs,my_ocs"
alternate_costume,0,97220,"黒ビキニ,たくし上げ黒ビキニ"
sleeveless,0,76119,
nose_blush,3,642669,"ダッチアングル,倾斜角度"
yuri,0,1047308,"エプロン,えぷろん,围裙"
book,0,318181,
miniskirt,0,74297,"アホ毛,呆毛"
white_footwear,0,130621,
spread_legs,0,76368,"髪型チェンジ,非常态发型"
thick_thighs,0,89924,"青空,蒼空,青い空,蒼天,蒼穹,碧空,蓝天"
sweatdrop,0,81298,セカコス
ass,0,80683,馬耳
arms_behind_back,0,233227,"膣の,阴道性行为"
flat_chest,0,80568,"生まれたままの姿(産まれたままの姿)全裸(ヌード),すっぽんぽん,裸帽子,全裸,完全裸,髪飾り以外完全裸"
blood,0,142178,"寝そべり,寝そべる,横臥,横になる,寝転がる,うつぶせ,うつ伏せ"
green_hair,0,212095,"ウマ娘,ウマ娘プリティーダービー,赛马娘,賽馬娘,马娘,馬娘,우마무스메,말딸,Umamusume,フォロワーさんからイメージもらって自分をウマ娘化する,ウマ娘ガンダムダービー,北斗の拳ニンジン味,ウマ娘モータリゼーション,闪耀优俊少女,闪耀!优俊少女,优骏少女,グラップラー馬姫,ウマ娘百合ティーダービー"
virtual_youtuber,0,261614,"ピンク髪,ピンク髪ロング,ピンクは淫乱"
ribbon,0,77464,"足,美脚"
black_skirt,3,2294308,"木,樹,樹木,木本,じゅもく,き"
collar,0,142994,"胸の谷間,魅惑の谷間,けしからん谷間,挟まれたい谷間,乳溝,乳沟,가슴골,谷間,cleavage"
1girl,0,82688,"ガーターベルト,吊带袜的吊带"
bare_legs,0,75424,"裸足,素足,裸足裏,制服裸足,裸足男子"
kimono,0,3608339,"金玉,睾丸,キンタマ,揉みしだきたい玉,ふぐり,裏玉,玉責め"
male_focus,0,110708,"白ソックス,白ハイソックス,白ハイソ,白靴下"
cum,0,81977,"お尻,尻,尻神様,極上の尻,おしり,ねじ込みたい尻,巨尻,顔を埋めたい尻,魅惑の尻,撫で回したい尻,椅子尻,いいおしりの日,かわいいおしり,爆尻,生尻,プリケツ,撫で回したいお尻,けつね,揉みしだきたい尻,原尻"
hatsune_miku,0,235573,"ぶっともも,thickthighs"
wavy_hair,0,75893,"電話,电话"
legs,0,134014,"褐色娘,褐色ロリ,黒ギャル"
vocaloid,0,179335,"葉,葉っぱ,木の葉"
expressionless,0,1010004,"鎖,くさり,チェーン,チェイン,链条"
sitting,0,99421,"ハイソックス,ハイソ,黒ハイソックス,黒ハイソ,黒ハイ,白ハイソックス,白ハイソ,白ハイ,紺ハイソックス,紺ハイソ,紺ハイ"
underboob,0,102901,"乳首,nipples,nipple"
gloves,0,97509,
