tag,category,count,alias
aqua_hair,0,91284,レオタード
oral,0,131626,"傘,伞,雨傘,雨伞"
bracelet,0,80433,"ショートパンツ,ホットパンツ,超短パン,短パン,热裤"
arm_support,0,68610,"黒パン,黒パンツ"
eyelashes,0,4974288,黒手袋
blue_background,0,235573,
chair,0,128101,黒ワンピ
necktie,0,574323,白いシャツ
hetero,3,202615,はだけ
bag,0,83587,銃
food,0,891679,"ドレス,ワンピース服,ワンピ,连衣裙,드레스"
bare_legs,0,167060,
hair_bow,0,81298,"ガーターベルト,吊带袜的吊带"
holding_sword,0,139896,
pointy_ears,0,327693,
4girls,0,523624,"ポケモン×ポケモン,ポケモン×人間,pokemon"
flat_chest,0,222127,BB
multiple_boys,0,426864,"黄色眼,黄色目,黄眼,金眼,金目"
thigh_strap,0,143555,"精液,정액,ザーメン"
long_sleeves,0,73292,
floral_print,0,141512,"腕带袖口,护腕"
pantyhose,0,184646,"♥,ハート,ハート形,爱心,红桃,<3"
armpits,0,120919,"群像,多女性"
v,0,339935,"鼠蹊部,またすじ,恥丘,鼠径部"
pokemon_(creature),0,581788,"軍服,军服,军装,セクシー軍服"
censored,0,442296,
pubic_hair,0,134014,"下着,肌着,下着艦娘,白下着,胖次"
hands_up,0,394069,ワンピース水着
drill_hair,0,71630,"鞄,かばん,カバン"
day,0,135797,"へそ,臍,おへそ,へそ出し,へそチラ,指を突っ込みたいへそ,肚脐,배꼽"
side-tie_bikini_bottom,0,137838,"透け,透け透け,スケスケ,すけすけ,シースルー,濡れ透け,透けブラ,スケブラ,透けスカート"
watermark,0,183476,白背景
bikini,0,192932,
strapless,0,78739,ベル
socks,0,311227,紫髪
grin,0,89834,"超ロングヘア,超长发"
black_bow,0,726995,"百合,ユリ,レズ,社会人百合,レズレイプ,創作百合,オリジナル百合,sapphic,にょたゆり,ウマ娘百合ティーダービー,pkmn百合,백합,lesbian,wlw"
white_panties,0,198998,"おっぱい,極上の乳,大艦巨乳主義,オッパイ,美乳,おっぱいがいっぱい,乳神様,天乳,胸,boobs,胸がぱんぱかぱーん,九九艦爆乳,ダイヤモンドバスト,このおっぱいで聖女は無理でしょ,乳,いいおっぱいの日,乳房,유방,着衣巨乳,tits,どや乳,なのぱい,boob,tit,titties,titty,breast,oppai,boobies,歐派"
indoors,0,111085,
fox_ears,0,70629,
standing,0,107240,
pleated_skirt,0,138274,"釦,鈕扣,纽扣,扣子,단추,鈕"
loli,0,1067528,"立つ,立ち絵"
headphones,0,109551,"セミロング,ミディアムヘアー"
looking_back,0,206534,"ウマ娘,ウマ娘プリティーダービー,赛马娘,賽馬娘,马娘,馬娘,우마무스메,말딸,Umamusume,フォロワーさんからイメージもらって自分をウマ娘化する,ウマ娘ガンダムダービー,北斗の拳ニンジン味,ウマ娘モータリゼーション,闪耀优俊少女,闪耀!优俊少女,优骏少女,グラップラー馬姫,ウマ娘百合ティーダービー"
frills,0,143030,"ブレスレット,腕輪,手镯"
twitter_username,0,80287,"シーツ,ベッドシーツ"
barefoot,0,113891,"前屈み,前かがみ"
hair_between_eyes,0,127810,赤面
:d,0,267247,"金髪,金髮,金发,금발,金髪碧眼,金髮碧眼,金发碧眼,금발벽안,金髪ロング,金髪ツインテール,ブロンド"
bare_arms,0,106465,"後ろ手,後ろ手縛り"
floating_hair,0,104890,"ノースリーブ,アメリカンスリーブ"
soles,0,84834,舌出し
demon_horns,0,2903688,"パーカー,连帽衫"
dated,0,341732,
bob_cut,0,76249,"蝶結び,蝶々結び,蝴蝶结"
