text
5 19 -9
4 10 -751
3 31 12
3 20 85
1 38 -14
4 92 -27
4 13 157
2 89 -52
3 29 2
1 12 -105
1 73 -16
2 56 29
5 100 102
3 68 6
5 85 46
5 21 105
3 42 17
2 63 4
1 86 25
5 63 2
2 90 103
5 13 141
2 77 -19
1 94 -70
5 82 -40
4 33 10
2 10 132
6 9 -72
3 34 7
1 32 -23
3 99 1306
5 39 -3
5 87 -42
3 97 -159
1 82 49
1 63 17
1 50 9
2 49 13
3 62 11
2 36 -13
1 69 -7
4 87 -44
4 6 65
2 84 4
3 60 2
5 72 -11
1 48 26
2 30 -20
5 80 54
3 25 -11
4 24 6
3 11 30
3 55 6
2 34 27
4 63 1
5 10 2628
4 71 44
1 84 63
5 61 -8
4 44 -21
5 67 15
3 24 39
2 38 6
5 52 16
6 8 37860
4 80 8
4 49 -11
5 40 -9
5 50 2
4 52 -16
1 35 -6
2 48 -9
1 96 -2259
4 77 -6
2 88 -104
3 84 89
3 65 35
5 97 -352
2 27 -33
6 17 155
3 7 -616
3 28 -10
5 93 -43
2 41 1
3 78 33
3 83 53
1 75 -7
5 60 11
5 42 34
1 11 -207
1 93 -209
2 62 16
5 83 -29
4 95 304
2 92 194
2 8 180
1 15 64
4 84 -40
1 57 1
5 56 -11
4 100 -2594
1 80 44
2 28 1
3 43 4
4 45 3
1 70 -3
4 56 16
3 12 136
2 60 9
6 7 -101237
5 94 150
5 8 5339
5 98 -430
1 81 3
2 69 16
5 91 -84
2 55 20
5 78 -36
1 89 144
4 28 -16
3 85 -74
5 95 -559
1 64 33
4 35 11
1 5 -106
1 62 4
1 88 -132
4 43 16
3 17 98
5 48 11
2 20 -140
5 17 -263
5 51 -19
3 74 18
4 59 -6
1 13 135
5 58 31
4 86 -56
2 3 -6442
2 24 -14
3 81 46
2 4 -17755
5 20 30
4 99 -46
3 18 -40
1 42 -21
3 23 15
1 23 17
5 49 -3
1 2 -22256
4 55 1
2 54 14
2 46 10
3 22 -38
4 38 -28
3 19 57
2 75 -32
4 81 12
2 82 29
2 37 -3
1 49 3
4 53 -11
4 98 -2213
4 88 -136
3 82 2
4 47 -5
1 92 2
2 21 -11
5 38 -22
1 90 246
2 93 -200
5 41 9
2 64 -33
6 18 166
5 65 -12
4 25 -61
5 35 24
2 35 21
3 69 -12
3 93 176
5 79 21
5 44 9
5 28 58
2 98 -1062
1 51 -7
4 30 -13
1 72 14
6 16 -171
5 33 -18
2 74 12
4 46 -3
2 81 -19
3 9 -1142
5 14 10
4 69 -10
5 36 24
5 68 -4
5 86 -46
3 96 973
5 45 -10
2 31 -5
4 8 3859
1 53 14
3 94 -231
3 77 19
6 15 -522
1 40 -11
3 89 191
3 71 0
5 23 75
1 4 -671
3 15 234
4 50 13
4 54 -4
5 32 -15
3 100 7126
5 81 24
2 78 29
4 14 -45
2 22 2
1 95 162
2 97 -486
3 30 16
1 37 24
2 45 -11
1 6 962
4 62 15
3 45 1
3 38 6
3 13 261
6 10 1315
3 47 16
4 15 -145
5 29 -76
2 61 -9
5 16 117
1 91 1
5 30 44
3 98 135
4 31 0
1 60 -15
4 23 46
3 63 0
2 94 -128
3 14 -96
2 43 -4
1 26 -17
1 46 9
2 71 -4
3 76 -4
1 20 45
1 41 -13
4 74 -27
2 39 16
5 43 5
2 66 19
2 76 -44
5 24 50
3 57 34
4 29 -3
4 85 -66
6 19 -118
2 7 -497
1 56 -6
2 47 -3
1 14 86
3 36 -3
2 99 -3484
5 77 -16
4 72 1
5 76 17
3 88 103
5 64 -9
2 32 16
4 36 8
4 58 3
4 5 -29820
2 14 272
4 26 7
4 83 -46
3 27 -26
1 17 -24
4 12 886
1 79 -66
4 60 8
3 46 10
3 86 47
1 18 -29
3 87 -111
3 10 -655
5 69 -11
3 52 -15
2 33 -9
5 34 10
2 6 996
3 5 -17546
3 61 -10
1 19 27
1 8 225
4 67 7
1 39 7
1 36 13
4 18 -45
5 74 -4
5 27 -25
2 91 -374
5 66 -21
2 85 5
2 52 11
1 78 -38
3 37 16
2 87 49
1 3 6996
4 34 -27
4 79 -37
5 31 -14
3 4 23317
100 4950
2 72 2
1 85 60
4 27 7
4 78 55
3 56 -7
1 59 -1
1 29 16
2 12 -181
5 89 -24
1 45 -31
2 25 39
2 95 -133
2 5 753
1 31 14
3 16 11
4 82 -19
5 47 2
5 7 -7196
4 89 -39
6 13 -1026
4 73 -6
2 53 4
3 51 0
4 51 19
5 70 11
2 67 21
2 86 -101
4 9 50
4 22 1
1 27 -38
1 47 -6
5 25 -10
1 99 14444
4 70 -12
3 91 -138
5 57 -6
4 37 -30
3 41 20
2 80 -10
3 95 155
5 37 -26
4 96 -212
3 40 4
1 77 -3
4 41 27
3 35 -12
2 51 -23
2 100 -12366
1 65 -46
2 42 6
2 26 -30
5 18 -75
5 55 17
2 44 -13
3 44 7
2 23 17
4 65 9
1 21 -60
3 75 4
3 49 -1
1 25 -18
1 100 39816
5 92 161
4 91 96
5 54 1
2 17 -183
5 12 -509
3 72 15
3 39 -8
4 76 31
2 83 -20
5 46 -11
3 6 -7740
4 17 -87
4 32 -7
2 16 46
1 7 669
1 58 -4
3 50 -24
1 98 -3914
1 74 3
2 50 6
3 21 -15
1 66 -17
4 21 45
4 64 -3
5 99 -561
5 84 -37
2 13 264
1 43 11
2 73 -54
1 33 8
4 7 -1338
2 57 -7
5 90 -98
2 59 9
5 62 -8
2 15 -46
2 19 93
4 19 29
2 68 1
3 90 61
3 70 4
2 18 115
4 42 10
5 71 26
1 97 -293
1 44 -20
5 73 -6
1 30 22
3 80 -43
1 68 51
1 83 -45
1 71 2
4 61 4
2 79 37
5 15 -156
1 76 36
5 26 -7
4 57 7
5 9 -520
1 87 -16
6 11 1126
2 9 1110
3 32 29
5 22 12
3 92 -253
4 39 12
5 6 -20286
3 73 -11
4 75 8
3 48 -13
1 54 -9
6 12 -388
2 58 1
2 70 -49
5 96 533
1 61 -6
1 24 -18
5 59 20
5 75 -6
2 65 -8
4 11 -709
1 9 317
4 68 -6
3 54 -7
1 22 14
4 90 29
1 10 -109
2 29 -58
4 93 248
4 97 -46
4 40 -15
3 64 -23
4 94 94
5 88 2
3 26 21
4 48 -22
3 53 -10
3 79 43
1 55 2
3 33 -6
3 66 13
1 28 -6
5 11 24
3 8 -178
3 59 -18
5 53 -1
3 67 1
6 14 -132
1 16 -2
1 34 -7
6 20 164
4 20 -157
2 40 7
4 66 10
3 58 -16
1 67 7
1 52 1
4 16 -61
2 96 -430
2 11 -293
