id,name,description,tags,version,template,author,subdomain,likes
renceLaw515/gradio_hls_player,gradio_agentchatbot,,,,,freddyaboulton,hellnear-gradio-model3dgscamera,1
pngwn/gradio_pdf,gradio_overlay_video,,"gradio-custom-component,multimodal data,visualization,machine learning,robotics,Rerun,rerun-viewer",,,kamcio1989,jayavibhav-gradio-iframecomponent,0
freddyaboulton/gradio_test2,gradio_imageslider_cssfix,,,,,freddyaboulton,elismasilva-gradio-videoslider,5
facebook/omnisealbench,gradio_richtextbox2,,"gradio-custom-component,designer,drag and drop,custom designs",,,Agents-MCP-Hackathon,k00b404-scope-studio,1
modelscope/modelscope-studio-beta,SimpleTextExtractFromPDF,,,,,elismasilva,b-aryan-gradio-imageslider-cssfix,0
AbdullahIsaMarkus/gradio_medical_image_analyzer_local,gradio_medical_image_analyzer,,,,Textbox,tungnguyen103,jayavibhav-gradio-gradiodesigner,6
kyamagu/gradio_bbox_annotator,gradio_htmlinjector,,,,Audio,elismasilva,drigoni-gradio-molgallery2d,3
dwancin/gradio_toggle,gradio_highlightedcode,,,,,azettl,robinsaiworld-gradio-pannellum,7
tungnguyen103/gradio_hellogradio,gradio_dropdownplus,,,,,Agents-MCP-Hackathon,agents-mcp-hackathon-gradio-chessboard,0
LuminaPixel/gradio_chatagui,gradio_coolimage,,,,,elismasilva,feiznouri-gradio-checkboxgroupmarkdown,0
abidlabs/gradio_fasta,gradio_hubquicksearch,Rerun viewer with Gradio,,,,freddyaboulton,agents-mcp-hackathon-audiogrid,1
drigoni/gradio_molgallery3d,B2BMGMT_gradio_unifiedaudio,,,,,awacke1,kyamagu-gradio-bbox-annotator,1
anshulchordiya/textmoodchecker,gradio_textboxplus,Quick search HF Hub repos or users,,,,edgargg,aliabd-gradio-imagefeed,0
freddyaboulton/gradio_leaderboard,WebRTC-Gradio,,,,SimpleTextbox,Mustafiz996,abidlabs-gradio-fasta,8
dawood/gradio_videogallery,gradio_test3,,,,,elismasilva,hugofloresgarcia-gradio-xyslider,3
freddyaboulton/gradio_pdf,SimpleTextExtractFromPDFDemo,,,,,freddyaboulton,abdullahisamarkus-gradio-medical-image-analyzer-local,3
Mustafiz996/gradio_spreadsheetcomponent,gradio_buttonplus,,,,Fallback,K00B404,agents-mcp-hackathon-gradio-workflowbuilder,3
jayavibhav/gradio_iframecomponent,gradio_workflowbuilder,,gradio-custom-component,,,abidlabs,freddyaboulton-gradio-webrtc,3
crcdng/gradio_myfirstcomponent,gradio_medical_image_analyzer_local,Gradio component for chessboard interaction,"gradio-custom-component,huggingface hub,hub,huggingface",,,PeepDaSlan9,rebirthmagex-gradio-rich-textbox,8
aliabid94/gradio_datetimerange,gradio_msaplot,A Log component for Gradio which can easily show some log file in the interface.,,,Image,elismasilva,paulguerrero-gradio-hdrimage,0
kamcio1989/gradio_workflowbuilder,gradio_igv,,,,,renceLaw515,maiiaren-gradio-coolcanvas,2
JoPmt/testng_component_from_builder,testwilldelete5,,,,,camilosegura,awacke1-gradio-pdf-document-qa-pdf-ui,2
czakop/gradio_chessboard,gradio_workflowbuilder,,,,,Tonic,julien-c-gradio-hubquicksearch,1
elismasilva/gradio_mediagallery,gradio_modal,,,,,lastmileai,princeta3011-agentic-workflow-bulider,5
hmb/gradio_shinymodel3d,Ask_PDF_anything,Python library for easily interacting with trained machine learning models,,0.0.6,Fallback,freddyaboulton,huggymonkey-simpletextextractfrompdfdemo,0
seq-to-pheno/zoonotica_orthologs,gradio-notebook-template,,,,,elismasilva,freddyaboulton-gradio-leaderboard,0
